hmm_id,K,pair_id,contrast,pair_role,n_train,method,alpha,beta,shape_rmse,excess_ce_H,recovery_ratio,test_ce_h1,bayes_ce_h1,test_ce_h2,bayes_ce_h2,test_ce_h3,bayes_ce_h3,test_ce_h4,bayes_ce_h4
confirm_K3_i000325,3,occupancy_K3_p03,occupancy_contrast,low,2048,interpolated_backoff,0.5,1.0,0.0095860571436607,0.0072406732662448,-5.08066082758392,1.5938937253299037,1.599509867205774,1.593970632509997,1.5981533164502704,1.5962719670768142,1.5975035532954929,1.604636162527472,1.597395489261227
confirm_K3_i000325,3,occupancy_K3_p03,occupancy_contrast,low,2048,interpolated_backoff,0.5,5.0,0.0079461240314471,0.0052618266534503,-4.1447332077834265,1.5938937834341078,1.599509867205774,1.5939645231705566,1.5981533164502704,1.5960631119630604,1.5975035532954929,1.6026573159146773,1.597395489261227
confirm_K3_i000325,3,occupancy_K3_p03,occupancy_contrast,low,2048,interpolated_backoff,0.5,20.0,0.0059220509608042,0.0027818181654872,-2.9717022737392678,1.5938940056813593,1.599509867205774,1.59394565222166,1.5981533164502704,1.5957127505475592,1.5975035532954929,1.6001773074267145,1.597395489261227
confirm_K3_i000325,3,occupancy_K3_p03,occupancy_contrast,low,2048,additive,1.0,,0.0105963796196887,0.008440387437901,-5.648042743322026,1.5938937796927883,1.599509867205774,1.5939522916061175,1.5981533164502704,1.5963656709706209,1.5975035532954929,1.605835876699128,1.597395489261227
confirm_K3_i000325,3,occupancy_K3_p03,occupancy_contrast,low,2048,interpolated_backoff,1.0,1.0,0.0096190149452823,0.0072760844710224,-5.097376172495438,1.5938937939780649,1.599509867205774,1.5939509225656774,1.5981533164502704,1.5962861933191217,1.5975035532954929,1.6046715737322494,1.597395489261227
confirm_K3_i000325,3,occupancy_K3_p03,occupancy_contrast,low,2048,interpolated_backoff,1.0,5.0,0.0080853195148374,0.0054250630591008,-4.221904090431591,1.5938938514275258,1.599509867205774,1.5939457517885625,1.5981533164502704,1.596087810267019,1.5975035532954929,1.6028205523203278,1.597395489261227
confirm_K3_i000325,3,occupancy_K3_p03,occupancy_contrast,low,2048,interpolated_backoff,1.0,20.0,0.0060739765553911,0.0029632493212803,-3.057479560974301,1.5938940712328795,1.599509867205774,1.5939297445016227,1.5981533164502704,1.5957421495441793,1.5975035532954929,1.600358738582507,1.597395489261227
confirm_K3_i000796,3,occupancy_K3_p03,occupancy_contrast,high,64,additive,0.1,,0.2666006221063787,0.3412834018847581,-130.83672368649945,1.8387794538340971,1.83637570763626,1.8489454943268724,1.8341093256912409,1.924330121387396,1.8338381661182217,2.175088659905684,1.8338052580209252
confirm_K3_i000796,3,occupancy_K3_p03,occupancy_contrast,high,64,interpolated_backoff,0.1,1.0,0.1753829638116286,0.2302671134525087,-87.6495320405718,1.8387736655554991,1.83637570763626,1.847847028419145,1.8341093256912409,1.9084537513764512,1.8338381661182217,2.064072371473434,1.8338052580209252
confirm_K3_i000796,3,occupancy_K3_p03,occupancy_contrast,high,64,interpolated_backoff,0.1,5.0,0.0919119374396445,0.1267212906574277,-47.37503327445331,1.8387514126215765,1.83637570763626,1.8463903869766976,1.8341093256912409,1.8882211805950069,1.8338381661182217,1.9605265486783527,1.8338052580209252
