pair_id,pair_type,architecture,dimension,seed,hmm_a,hmm_b,raw_b_minus_a,signed_expected_effect
strict_sigma_K4,sigma_contrast,GRU,8,5,bank_K4_i001237,bank_K4_i000146,-0.0231482326975961,-0.0231482326975961
strict_sigma_K4,sigma_contrast,GRU,32,1,bank_K4_i001237,bank_K4_i000146,-0.0150425949092858,-0.0150425949092858
strict_sigma_K4,sigma_contrast,GRU,32,2,bank_K4_i001237,bank_K4_i000146,-0.0246194806012718,-0.0246194806012718
strict_sigma_K4,sigma_contrast,GRU,32,3,bank_K4_i001237,bank_K4_i000146,-0.0078481574297024,-0.0078481574297024
strict_sigma_K4,sigma_contrast,GRU,32,4,bank_K4_i001237,bank_K4_i000146,-0.0104858882034825,-0.0104858882034825
strict_sigma_K4,sigma_contrast,GRU,32,5,bank_K4_i001237,bank_K4_i000146,-0.0371610343159242,-0.0371610343159242
strict_sigma_K4,sigma_contrast,GRU,128,1,bank_K4_i001237,bank_K4_i000146,-0.0014205533345608,-0.0014205533345608
strict_sigma_K4,sigma_contrast,GRU,128,2,bank_K4_i001237,bank_K4_i000146,-0.0552553325631667,-0.0552553325631667
strict_sigma_K4,sigma_contrast,GRU,128,3,bank_K4_i001237,bank_K4_i000146,-0.0123754273825514,-0.0123754273825514
strict_sigma_K4,sigma_contrast,GRU,128,4,bank_K4_i001237,bank_K4_i000146,-0.0122189403417023,-0.0122189403417023
strict_sigma_K4,sigma_contrast,GRU,128,5,bank_K4_i001237,bank_K4_i000146,-0.0056299156825333,-0.0056299156825333
strict_sigma_K4,sigma_contrast,Transformer,8,1,bank_K4_i001237,bank_K4_i000146,-0.0227940281554323,-0.0227940281554323
strict_sigma_K4,sigma_contrast,Transformer,8,2,bank_K4_i001237,bank_K4_i000146,-0.0262230154773163,-0.0262230154773163
strict_sigma_K4,sigma_contrast,Transformer,8,3,bank_K4_i001237,bank_K4_i000146,-0.0077972791648621,-0.0077972791648621
strict_sigma_K4,sigma_contrast,Transformer,8,4,bank_K4_i001237,bank_K4_i000146,-0.0120086029221884,-0.0120086029221884
strict_sigma_K4,sigma_contrast,Transformer,8,5,bank_K4_i001237,bank_K4_i000146,-0.0126587979812485,-0.0126587979812485
strict_sigma_K4,sigma_contrast,Transformer,32,1,bank_K4_i001237,bank_K4_i000146,-0.0229786272498402,-0.0229786272498402
strict_sigma_K4,sigma_contrast,Transformer,32,2,bank_K4_i001237,bank_K4_i000146,0.009843339719408,0.009843339719408
strict_sigma_K4,sigma_contrast,Transformer,32,3,bank_K4_i001237,bank_K4_i000146,-0.0074571702192109,-0.0074571702192109
strict_sigma_K4,sigma_contrast,Transformer,32,4,bank_K4_i001237,bank_K4_i000146,-0.007590920522354,-0.007590920522354
strict_sigma_K4,sigma_contrast,Transformer,32,5,bank_K4_i001237,bank_K4_i000146,-0.0008235602003758,-0.0008235602003758
strict_sigma_K4,sigma_contrast,Transformer,128,1,bank_K4_i001237,bank_K4_i000146,0.0024044440735777,0.0024044440735777
strict_sigma_K4,sigma_contrast,Transformer,128,2,bank_K4_i001237,bank_K4_i000146,0.0138918583431664,0.0138918583431664
strict_sigma_K4,sigma_contrast,Transformer,128,3,bank_K4_i001237,bank_K4_i000146,-0.0042013971247336,-0.0042013971247336
strict_sigma_K4,sigma_contrast,Transformer,128,4,bank_K4_i001237,bank_K4_i000146,0.0233021051815056,0.0233021051815056
strict_sigma_K4,sigma_contrast,Transformer,128,5,bank_K4_i001237,bank_K4_i000146,-0.0101878441488962,-0.0101878441488962
strict_rank_K5,rank_contrast,GRU,8,1,bank_K5_i000689,bank_K5_i000044,-0.0041396278662747,-0.0041396278662747
strict_rank_K5,rank_contrast,GRU,8,2,bank_K5_i000689,bank_K5_i000044,0.0072439326516562,0.0072439326516562
strict_rank_K5,rank_contrast,GRU,8,3,bank_K5_i000689,bank_K5_i000044,0.0145532788962512,0.0145532788962512
strict_rank_K5,rank_contrast,GRU,8,4,bank_K5_i000689,bank_K5_i000044,0.0200610010215892,0.0200610010215892
strict_rank_K5,rank_contrast,GRU,8,5,bank_K5_i000689,bank_K5_i000044,-0.0003184978568723,-0.0003184978568723
strict_rank_K5,rank_contrast,GRU,32,1,bank_K5_i000689,bank_K5_i000044,0.0213136899617041,0.0213136899617041
strict_rank_K5,rank_contrast,GRU,32,2,bank_K5_i000689,bank_K5_i000044,0.0057879264213407,0.0057879264213407
strict_rank_K5,rank_contrast,GRU,32,3,bank_K5_i000689,bank_K5_i000044,0.0023198403573441,0.0023198403573441
strict_rank_K5,rank_contrast,GRU,32,4,bank_K5_i000689,bank_K5_i000044,-0.0061711993245617,-0.0061711993245617
strict_rank_K5,rank_contrast,GRU,32,5,bank_K5_i000689,bank_K5_i000044,0.0020372834135256,0.0020372834135256
strict_rank_K5,rank_contrast,GRU,128,1,bank_K5_i000689,bank_K5_i000044,-0.0274299731269895,-0.0274299731269895
strict_rank_K5,rank_contrast,GRU,128,2,bank_K5_i000689,bank_K5_i000044,-0.0026051634784837,-0.0026051634784837
strict_rank_K5,rank_contrast,GRU,128,3,bank_K5_i000689,bank_K5_i000044,0.0039656909268735,0.0039656909268735
strict_rank_K5,rank_contrast,GRU,128,4,bank_K5_i000689,bank_K5_i000044,-0.01486924177039,-0.01486924177039
strict_rank_K5,rank_contrast,GRU,128,5,bank_K5_i000689,bank_K5_i000044,-0.0025676250219608,-0.0025676250219608
strict_rank_K5,rank_contrast,Transformer,8,1,bank_K5_i000689,bank_K5_i000044,0.0135922306286087,0.0135922306286087
strict_rank_K5,rank_contrast,Transformer,8,2,bank_K5_i000689,bank_K5_i000044,0.0093244033455377,0.0093244033455377
strict_rank_K5,rank_contrast,Transformer,8,3,bank_K5_i000689,bank_K5_i000044,0.0078287401539736,0.0078287401539736
strict_rank_K5,rank_contrast,Transformer,8,4,bank_K5_i000689,bank_K5_i000044,0.0092036216750318,0.0092036216750318
strict_rank_K5,rank_contrast,Transformer,8,5,bank_K5_i000689,bank_K5_i000044,0.0160943663588115,0.0160943663588115
strict_rank_K5,rank_contrast,Transformer,32,1,bank_K5_i000689,bank_K5_i000044,0.0194847983284579,0.0194847983284579
strict_rank_K5,rank_contrast,Transformer,32,2,bank_K5_i000689,bank_K5_i000044,-0.0061321746775028,-0.0061321746775028
strict_rank_K5,rank_contrast,Transformer,32,3,bank_K5_i000689,bank_K5_i000044,0.0095753462485607,0.0095753462485607
strict_rank_K5,rank_contrast,Transformer,32,4,bank_K5_i000689,bank_K5_i000044,0.0271778851197009,0.0271778851197009
strict_rank_K5,rank_contrast,Transformer,32,5,bank_K5_i000689,bank_K5_i000044,-0.0098217507924714,-0.0098217507924714
strict_rank_K5,rank_contrast,Transformer,128,1,bank_K5_i000689,bank_K5_i000044,0.0040293537609774,0.0040293537609774
strict_rank_K5,rank_contrast,Transformer,128,2,bank_K5_i000689,bank_K5_i000044,-0.0174473173861212,-0.0174473173861212
strict_rank_K5,rank_contrast,Transformer,128,3,bank_K5_i000689,bank_K5_i000044,0.0338998609617492,0.0338998609617492
strict_rank_K5,rank_contrast,Transformer,128,4,bank_K5_i000689,bank_K5_i000044,0.0228348146466337,0.0228348146466337
strict_rank_K5,rank_contrast,Transformer,128,5,bank_K5_i000689,bank_K5_i000044,0.0170753964453688,0.0170753964453688
strict_sigma_K5,sigma_contrast,GRU,8,1,bank_K5_i000130,bank_K5_i000458,-0.0001075604767994,-0.0001075604767994
strict_sigma_K5,sigma_contrast,GRU,8,2,bank_K5_i000130,bank_K5_i000458,0.0020883172127459,0.0020883172127459
strict_sigma_K5,sigma_contrast,GRU,8,3,bank_K5_i000130,bank_K5_i000458,0.0065777547326003,0.0065777547326003
strict_sigma_K5,sigma_contrast,GRU,8,4,bank_K5_i000130,bank_K5_i000458,0.0125816064084632,0.0125816064084632
strict_sigma_K5,sigma_contrast,GRU,8,5,bank_K5_i000130,bank_K5_i000458,-0.0056798571768493,-0.0056798571768493
strict_sigma_K5,sigma_contrast,GRU,32,1,bank_K5_i000130,bank_K5_i000458,0.001352017493448,0.001352017493448
strict_sigma_K5,sigma_contrast,GRU,32,2,bank_K5_i000130,bank_K5_i000458,-0.0032202949242518,-0.0032202949242518
strict_sigma_K5,sigma_contrast,GRU,32,3,bank_K5_i000130,bank_K5_i000458,-0.0171541747940769,-0.0171541747940769
strict_sigma_K5,sigma_contrast,GRU,32,4,bank_K5_i000130,bank_K5_i000458,0.0058677866807609,0.0058677866807609
strict_sigma_K5,sigma_contrast,GRU,32,5,bank_K5_i000130,bank_K5_i000458,0.0161634844434168,0.0161634844434168
strict_sigma_K5,sigma_contrast,GRU,128,1,bank_K5_i000130,bank_K5_i000458,-0.0150056967668591,-0.0150056967668591
strict_sigma_K5,sigma_contrast,GRU,128,2,bank_K5_i000130,bank_K5_i000458,-0.0064919302459369,-0.0064919302459369
strict_sigma_K5,sigma_contrast,GRU,128,3,bank_K5_i000130,bank_K5_i000458,0.0321795714687437,0.0321795714687437
strict_sigma_K5,sigma_contrast,GRU,128,4,bank_K5_i000130,bank_K5_i000458,-0.0074691509738916,-0.0074691509738916
strict_sigma_K5,sigma_contrast,GRU,128,5,bank_K5_i000130,bank_K5_i000458,0.0178452241169444,0.0178452241169444
strict_sigma_K5,sigma_contrast,Transformer,8,1,bank_K5_i000130,bank_K5_i000458,-0.0035747876952028,-0.0035747876952028
strict_sigma_K5,sigma_contrast,Transformer,8,2,bank_K5_i000130,bank_K5_i000458,-0.0102986116461571,-0.0102986116461571
strict_sigma_K5,sigma_contrast,Transformer,8,3,bank_K5_i000130,bank_K5_i000458,0.0056488212386969,0.0056488212386969
strict_sigma_K5,sigma_contrast,Transformer,8,4,bank_K5_i000130,bank_K5_i000458,0.0013024067655485,0.0013024067655485
strict_sigma_K5,sigma_contrast,Transformer,8,5,bank_K5_i000130,bank_K5_i000458,0.0152073500163802,0.0152073500163802
strict_sigma_K5,sigma_contrast,Transformer,32,1,bank_K5_i000130,bank_K5_i000458,0.0060037965877479,0.0060037965877479
strict_sigma_K5,sigma_contrast,Transformer,32,2,bank_K5_i000130,bank_K5_i000458,0.0194965498352681,0.0194965498352681
strict_sigma_K5,sigma_contrast,Transformer,32,3,bank_K5_i000130,bank_K5_i000458,-0.0003543760298303,-0.0003543760298303
strict_sigma_K5,sigma_contrast,Transformer,32,4,bank_K5_i000130,bank_K5_i000458,0.0116335516561351,0.0116335516561351
strict_sigma_K5,sigma_contrast,Transformer,32,5,bank_K5_i000130,bank_K5_i000458,0.0070046564320159,0.0070046564320159
strict_sigma_K5,sigma_contrast,Transformer,128,1,bank_K5_i000130,bank_K5_i000458,0.0042768971023006,0.0042768971023006
strict_sigma_K5,sigma_contrast,Transformer,128,2,bank_K5_i000130,bank_K5_i000458,-0.0170248247689134,-0.0170248247689134
strict_sigma_K5,sigma_contrast,Transformer,128,3,bank_K5_i000130,bank_K5_i000458,0.0013438679430535,0.0013438679430535
strict_sigma_K5,sigma_contrast,Transformer,128,4,bank_K5_i000130,bank_K5_i000458,0.0089889307829073,0.0089889307829073
strict_sigma_K5,sigma_contrast,Transformer,128,5,bank_K5_i000130,bank_K5_i000458,-0.0187841034941674,-0.0187841034941674
strict_rank_K6,rank_contrast,GRU,8,1,bank_K6_i000841,bank_K6_i000250,-0.0240449346303267,-0.0240449346303267
strict_rank_K6,rank_contrast,GRU,8,2,bank_K6_i000841,bank_K6_i000250,0.040124688357858,0.040124688357858
strict_rank_K6,rank_contrast,GRU,8,3,bank_K6_i000841,bank_K6_i000250,0.0140498576610569,0.0140498576610569
strict_rank_K6,rank_contrast,GRU,8,4,bank_K6_i000841,bank_K6_i000250,-0.0454267706071418,-0.0454267706071418
strict_rank_K6,rank_contrast,GRU,8,5,bank_K6_i000841,bank_K6_i000250,0.0065945872488877,0.0065945872488877
strict_rank_K6,rank_contrast,GRU,32,1,bank_K6_i000841,bank_K6_i000250,0.0105752308401111,0.0105752308401111
strict_rank_K6,rank_contrast,GRU,32,2,bank_K6_i000841,bank_K6_i000250,0.0003845803826448,0.0003845803826448
strict_rank_K6,rank_contrast,GRU,32,3,bank_K6_i000841,bank_K6_i000250,-0.0143687798922011,-0.0143687798922011
strict_rank_K6,rank_contrast,GRU,32,4,bank_K6_i000841,bank_K6_i000250,-0.0311362277238264,-0.0311362277238264
strict_rank_K6,rank_contrast,GRU,32,5,bank_K6_i000841,bank_K6_i000250,-0.0082859405411392,-0.0082859405411392
strict_rank_K6,rank_contrast,GRU,128,1,bank_K6_i000841,bank_K6_i000250,0.0499156704024598,0.0499156704024598
strict_rank_K6,rank_contrast,GRU,128,2,bank_K6_i000841,bank_K6_i000250,-0.0017853852942496,-0.0017853852942496
strict_rank_K6,rank_contrast,GRU,128,3,bank_K6_i000841,bank_K6_i000250,-0.0139199894468614,-0.0139199894468614
strict_rank_K6,rank_contrast,GRU,128,4,bank_K6_i000841,bank_K6_i000250,-0.0006399931672337,-0.0006399931672337
strict_rank_K6,rank_contrast,GRU,128,5,bank_K6_i000841,bank_K6_i000250,0.0458150676401283,0.0458150676401283
strict_rank_K6,rank_contrast,Transformer,8,1,bank_K6_i000841,bank_K6_i000250,-0.0011590128848723,-0.0011590128848723
strict_rank_K6,rank_contrast,Transformer,8,2,bank_K6_i000841,bank_K6_i000250,-0.0045245380261873,-0.0045245380261873
strict_rank_K6,rank_contrast,Transformer,8,3,bank_K6_i000841,bank_K6_i000250,-0.017650897164523,-0.017650897164523
strict_rank_K6,rank_contrast,Transformer,8,4,bank_K6_i000841,bank_K6_i000250,0.0176021013682222,0.0176021013682222
strict_rank_K6,rank_contrast,Transformer,8,5,bank_K6_i000841,bank_K6_i000250,-0.0307635183231033,-0.0307635183231033
strict_rank_K6,rank_contrast,Transformer,32,1,bank_K6_i000841,bank_K6_i000250,0.0082137016751758,0.0082137016751758
strict_rank_K6,rank_contrast,Transformer,32,2,bank_K6_i000841,bank_K6_i000250,0.0393041070212806,0.0393041070212806
strict_rank_K6,rank_contrast,Transformer,32,3,bank_K6_i000841,bank_K6_i000250,0.0305563479553731,0.0305563479553731
strict_rank_K6,rank_contrast,Transformer,32,4,bank_K6_i000841,bank_K6_i000250,-0.0029569309121345,-0.0029569309121345
strict_rank_K6,rank_contrast,Transformer,32,5,bank_K6_i000841,bank_K6_i000250,-0.0371637900566709,-0.0371637900566709
strict_rank_K6,rank_contrast,Transformer,128,1,bank_K6_i000841,bank_K6_i000250,-0.0449696460855004,-0.0449696460855004
strict_rank_K6,rank_contrast,Transformer,128,2,bank_K6_i000841,bank_K6_i000250,-0.0136980289799731,-0.0136980289799731
strict_rank_K6,rank_contrast,Transformer,128,3,bank_K6_i000841,bank_K6_i000250,-0.0303714077249769,-0.0303714077249769
