hmm_id,source,K,bank_index,alpha_t,self_bias,alpha_e,gen_seed,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5
bank_K5_i000189,bank,5,189,0.2,0.0,0.1,20951535,8,0.143745144433132,0.0004875791613113,1.346112589684718,1.3270184690641482,1.3217356272277958,1.3202214665122634,0.0258911231724547,0.0342022864398721,0.4964916576445354,0.2833559145884695,0.3456738112210535,2.094130730557341,4,2,0.2833559145884695,1.7521838510609966,3,0.1373812086865111,3.613970661573336,3,0.1373812086865111,3.613970661573336,0.5192174181048145,0.3408406568642684,0.4084149178352395,2.2124493843725506,4,2,0.3408406568642684,1.5233435555535273,3,0.1501074755632081,3.4589710882598865,3,0.1501074755632081,3.4589710882598865,0.6994817288774556,3.32758469647998,3.5467093211405927,0.1373812086865111,0.1501074755632081,0.0023820743062003,0.0111167882135381,,
bank_K5_i000190,bank,5,190,0.2,0.0,0.5,20952544,8,0.0203009160783152,0.0363950269999548,1.9314701767417488,1.915121088382559,1.9059896391535995,1.901112025170972,0.0303581515707769,0.0492448287649913,0.3179345899567105,0.0772437021862925,0.1114144885563607,1.488776243108787,4,1,0.3179345899567105,1.0,2,0.0772437021862925,4.115993679199007,4,0.0405957891695708,7.8317134969018625,0.4424147520917149,0.0948314188723281,0.2109567807031787,1.3888450311047982,4,1,0.4424147520917149,1.0,2,0.0948314188723281,4.665276101028706,4,0.0538094511788891,8.2218781719388,0.9070181059976804,10.75478200062319,15.556732367626523,0.0521294296887491,0.0577712107653371,0.0405957891695708,0.0538094511788891,,
bank_K5_i000191,bank,5,191,0.2,0.0,2.0,20953553,8,0.0372226077116713,0.056334575340015,1.971698021334586,1.964470438279624,1.9594842830335808,1.9560445072516548,0.0156535140829312,0.0275192208928261,0.2321231055943011,0.0154571037674615,0.0541439413344216,1.0327678509761284,4,1,0.2321231055943011,1.0,1,0.2321231055943011,1.0,1,0.2321231055943011,1.0,0.2979715274132379,0.0164350770162937,0.0890860486051707,1.0238761377381935,4,1,0.2979715274132379,1.0,1,0.2979715274132379,1.0,1,0.2979715274132379,1.0,0.9256085766287144,13.442409819328596,23.13585953145511,0.0048106480112339,0.0052615073657572,0.0008606930419947,0.0011055495924351,,
bank_K5_i000192,bank,5,192,0.2,2.0,0.1,20954562,8,0.0723528052050198,0.0029833456178539,1.1687962985485478,1.1174052313580631,1.1073818048584736,1.1040843714489186,0.0647119270996292,0.0813302204183288,0.729798076046228,0.3213171054027695,0.7306501168444175,2.265863495128453,4,3,0.2898244660170363,2.518069250935252,3,0.2898244660170363,2.518069250935252,4,0.103932582557958,7.021841063549594,0.765517156548488,0.365808881262592,0.8678734503437191,2.5778388265730188,4,3,0.3377815150640166,2.26630861195411,3,0.3377815150640166,2.26630861195411,4,0.1842401797765765,4.154995709821884,0.9372480700087038,15.935764846415111,12.1110499627786,0.2898244660170363,0.3377815150640166,0.103932582557958,0.1842401797765765,,
bank_K5_i000194,bank,5,194,0.2,2.0,2.0,20956580,8,0.0283494567100506,0.0173351885757875,1.9182005363593853,1.917075208468604,1.9163560257821093,1.9158628555075368,0.0023376808518487,0.0040432040874891,0.0964347955147169,0.0334324960724378,0.01055606860741,1.5031644878111508,4,2,0.0334324960724378,2.884462928097639,2,0.0334324960724378,2.884462928097639,3,0.0116597271590987,8.270759186630155,0.1255537582542974,0.0405941095593367,0.0177306322016866,1.491141850163404,4,2,0.0405941095593367,3.09290583331492,2,0.0405941095593367,3.09290583331492,3,0.0176620887729337,7.108658543643042,0.8745208210661305,7.969449660863843,10.01291631577407,0.0116597271590987,0.0176620887729337,0.0016485722266779,0.0026561022513502,,
bank_K5_i000195,bank,5,195,0.2,8.0,0.1,20957589,8,0.0483223027137915,0.0072510893232646,1.3883521822900344,1.2944058906263969,1.2580640057797288,1.241041785855335,0.1473103964346993,0.2176967211301548,0.7887789181760556,0.5827856509186271,0.9899566833809524,2.1436982523416463,4,2,0.5827856509186271,1.3534631762685434,2,0.5827856509186271,1.3534631762685434,3,0.1663764218513087,4.74092969063243,0.8963634255831231,0.6793608653541123,1.43234100410055,2.6408368468617,4,3,0.3934985645417305,2.277933152378917,3,0.3934985645417305,2.277933152378917,3,0.3934985645417305,2.277933152378917,0.993163711405584,146.27820142304057,66.00935577567888,0.1663764218513087,0.3934985645417305,0.0215469941586151,0.1118092469626202,,
bank_K5_i000196,bank,5,196,0.2,8.0,0.5,20958598,8,0.0227664798698516,0.0348329111150314,1.5388532049103034,1.4656027242294534,1.43127826551264,1.4149129376435403,0.1239402672667628,0.1909953817217753,0.6561110369960653,0.3287066753788489,0.5478226438330901,1.8001093216232538,4,2,0.3287066753788489,1.9960380671912683,2,0.3287066753788489,1.9960380671912683,3,0.0847283253866003,7.74370358439574,0.7953021212110519,0.4372202416132148,0.8791555119947583,2.1487461104071364,4,2,0.4372202416132148,1.8189965731609763,3,0.2222564418562949,3.5783085276118696,3,0.2222564418562949,3.5783085276118696,0.989541356399907,95.61469328499837,58.37001549197675,0.0847283253866003,0.2222564418562949,0.0459780752490168,0.0780421832666218,,
bank_K5_i000197,bank,5,197,0.2,8.0,2.0,20959607,8,0.0102700623900754,0.0487433510027709,1.955128989484724,1.950233077119131,1.945782094509167,1.941801955040969,0.0133270344437546,0.0257382959901144,0.1700424966122261,0.1091991937651608,0.041277148467605,1.92977489683964,4,2,0.1091991937651608,1.5571772166918405,2,0.1091991937651608,1.5571772166918405,3,0.0207146145441671,8.208817801058574,0.2386492496591274,0.1628163317224745,0.084544124220668,1.9878407453094973,4,2,0.1628163317224745,1.4657574405122482,2,0.1628163317224745,1.4657574405122482,3,0.0324657144693477,7.350808493201227,0.9838868919781676,62.06127325932772,59.86472740603967,0.0207146145441671,0.0324657144693477,0.0030230181626283,0.0052420765194179,,
bank_K5_i000198,bank,5,198,1.0,0.0,0.1,20960616,8,0.0718804619478572,0.0196202046927911,1.7135274795536022,1.7073095598684604,1.7071097709004484,1.7071021368162738,0.0064253427373284,0.0066403998736896,0.268278527282027,0.2496243282350696,0.1778541837901647,2.97999302156684,4,3,0.2076778280898077,1.2918014876677797,3,0.2076778280898077,1.2918014876677797,3,0.2076778280898077,1.2918014876677797,0.2808079987402664,0.2516105014619226,0.1908092404514246,2.991036031612216,4,3,0.2192979517725426,1.2804861900010924,3,0.2192979517725426,1.2804861900010924,3,0.2192979517725426,1.2804861900010924,0.3097194932058084,1.448686425528965,1.7394367965533557,0.2076778280898077,0.2192979517725426,0.0209387216095431,0.0235939016985008,,
bank_K5_i000199,bank,5,199,1.0,0.0,0.5,20961625,8,0.0747511372498062,0.0195613129955619,1.862892777542836,1.859801901857736,1.8589696400785736,1.8587908683114744,0.0041019092313614,0.0052917145447217,0.1492211081684671,0.1087242879604112,0.0382504453683274,2.6346446758531137,4,3,0.0587994644130841,2.5377970642749967,3,0.0587994644130841,2.5377970642749967,4,0.0265548194785449,5.619360669690513,0.157345401468639,0.1287963303833142,0.0467524630736441,2.754232240513803,4,3,0.0653683453897367,2.407058042092392,3,0.0653683453897367,2.407058042092392,4,0.0336655968477797,4.673774303782056,0.485814760358206,1.9448243996592505,2.2605119088037413,0.0587994644130841,0.0653683453897367,0.0265548194785449,0.0336655968477797,,
bank_K5_i000200,bank,5,200,1.0,0.0,2.0,20962634,8,0.1149142267325619,0.0746447587466869,2.050024862372613,2.04991514691501,2.0499030033889705,2.0499021402171564,0.0001227221554565,0.0001365920251239,0.034189394007733,0.019470440241507,0.001666286899383,2.17095133913727,4,2,0.019470440241507,1.7559640965307022,3,0.0108535822818944,3.1500561860360707,3,0.0108535822818944,3.1500561860360707,0.036112613393626,0.0207280760848352,0.0019135712533306,2.2762068581839023,4,2,0.0207280760848352,1.7422076822675383,3,0.0133664504798738,2.70173547180693,3,0.0133664504798738,2.70173547180693,0.3363317148809932,1.5067768378003528,1.72343462369109,0.0108535822818944,0.0133664504798738,0.000688436793793,0.0010654907805859,,
bank_K5_i000201,bank,5,201,1.0,2.0,0.1,20963643,8,0.1353444078829695,5.3437050820268976e-05,1.5151900020124307,1.5105893275199642,1.5092099320113166,1.5088676026865586,0.006322399325872,0.0083864534840356,0.2532032110976868,0.1451756374570358,0.0931390810974699,2.233740632200039,4,2,0.1451756374570358,1.7441164063951256,3,0.0891533538324226,2.840086213398332,3,0.0891533538324226,2.840086213398332,0.2674942450662778,0.159510374773681,0.1069801826692728,2.3028216359506706,4,2,0.159510374773681,1.6769708267929793,3,0.0997376693124863,2.681978102257396,3,0.0997376693124863,2.681978102257396,0.5205549160672804,2.0857446108266484,1.716001019107535,0.0891533538324226,0.0997376693124863,0.0017113668994047,0.0059874189237011,,
