hmm_id,source,cohort,K,bank_index,alpha_t,self_bias,alpha_e,gen_seed,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5,symbol_entropy,symbol_entropy_normalized,max_symbol_prob,min_symbol_prob_recomputed,marginal_l2_from_uniform,symbol_prob_0,symbol_prob_1,symbol_prob_2,symbol_prob_3,symbol_prob_4,symbol_prob_5,symbol_prob_6,symbol_prob_7
confirm_K4_i000715,bank,independent_confirmatory64,4,715,1.0,2.0,0.5,2027193578,8,0.0729891069514601,0.0450239162206132,1.752303326187017,1.7441366470002926,1.742972008236659,1.742794076592071,0.0095092495949458,0.0110297516477553,0.3759422033458574,0.1815324713923786,0.1798212017570693,1.8356515864065588,3,2,0.1815324713923786,2.070936403070646,2,0.1815324713923786,2.070936403070646,3,0.0743950491007739,5.0533228741688765,0.3976583460430904,0.1918094136050263,0.2019260935509887,1.8556880257033148,3,2,0.1918094136050263,2.073195150171033,2,0.1918094136050263,2.073195150171033,3,0.0836844204482433,4.751880265324082,0.6332500961484359,2.726653748230383,3.811649578533872,0.0743950491007739,0.0836844204482433,,,,,1.8147962975030585,0.8727325395437715,0.3454616606951705,0.0450239162206132,0.2778918868574684,0.1973633023465749,0.0728774931522073,0.0576370853101222,0.0450239162206132,0.3454616606951705,0.0628405616845029,0.1612765805836227,0.0575194000071859
confirm_K4_i000716,bank,independent_confirmatory64,4,716,1.0,2.0,2.0,2027194587,8,0.0844476745010741,0.0544767053367834,1.96119728251322,1.960618915940115,1.960469411362224,1.9604305396247688,0.000766742888451,0.0009939909412526,0.0687326756037813,0.0326282645212774,0.0058204362485027,1.662714670125674,3,2,0.0326282645212774,2.1065378932109518,2,0.0326282645212774,2.1065378932109518,2,0.0326282645212774,2.1065378932109518,0.076871166099256,0.0378275212647576,0.0073734991280211,1.6821097893777297,3,2,0.0378275212647576,2.0321491741747737,2,0.0378275212647576,2.0321491741747737,2,0.0378275212647576,2.0321491741747737,0.5201503055469809,2.083985905502973,2.75429040019071,0.0056260027708506,0.0057794104825747,,,,,1.9633536964510128,0.944173547126964,0.2683663386513847,0.0544767053367834,0.1801609478582964,0.0544767053367834,0.0834900686896763,0.0900002750225415,0.148903918158341,0.0971649723636338,0.0926919288403003,0.2683663386513847,0.1649057929373387
confirm_K4_i000717,bank,independent_confirmatory64,4,717,1.0,8.0,0.1,2027195596,8,0.1276530618595336,0.0047202446688389,1.3899897677425108,1.3779681827356698,1.3757347827046544,1.3751611501801253,0.0148286175623855,0.0182092826424591,0.4825927553847015,0.4620723859126079,0.4685637686663736,2.339461111091456,3,2,0.4620723859126079,1.0444094260936303,2,0.4620723859126079,1.0444094260936303,3,0.1488526496022332,3.242083743045855,0.500443003899241,0.4718360927215551,0.5036877152021607,2.407300890367042,3,2,0.4718360927215551,1.0606289167339469,3,0.1749720453550254,2.8601311877209965,3,0.1749720453550254,2.8601311877209965,0.6014216101026615,2.508916753508812,3.1799537790017607,0.1488526496022332,0.1749720453550254,,,,,1.585354479316197,0.7623943484535275,0.3801855659369748,0.0047202446688389,0.3713610750872017,0.0631639807227586,0.0714483315558553,0.3801855659369748,0.0548308016845796,0.3132216439294448,0.0260754828690959,0.086353948632452,0.0047202446688389
confirm_K4_i000718,bank,independent_confirmatory64,4,718,1.0,8.0,0.5,2027196605,8,0.0397122086507723,0.0133991007149594,1.5331583845463037,1.512176595070018,1.5096154505198327,1.5092332346095607,0.0239251499367427,0.0272507263074719,0.4788287110351509,0.3660058435234763,0.3658416801508926,2.0055583192723785,3,2,0.3660058435234763,1.308254279291139,2,0.3660058435234763,1.308254279291139,2,0.3660058435234763,1.308254279291139,0.504913386220764,0.4005650281309915,0.4197926394168871,2.0509148330276616,3,2,0.4005650281309915,1.2605029165343131,2,0.4005650281309915,1.2605029165343131,3,0.0663533727129726,7.609460764035123,0.6590230523957772,2.932749580363759,5.207645003007024,0.05103399010441,0.0663533727129726,,,,,1.6726466680644605,0.8043730177253484,0.4287320023619014,0.0133991007149594,0.3514714848330743,0.1021215254883085,0.0133991007149594,0.4287320023619014,0.0469776973820015,0.1328538320660275,0.0857047563419913,0.1615143313101488,0.0286967543346614
confirm_K4_i000719,bank,independent_confirmatory64,4,719,1.0,8.0,2.0,2027197614,8,0.0716965591843633,0.0321528325227372,1.9039265597837036,1.900264825225923,1.89840121189105,1.8974216253605125,0.0065049344231908,0.010327720819139,0.1612597399518711,0.0429124288996186,0.0279888582441159,1.3155646961721958,3,1,0.1612597399518711,1.0,2,0.0429124288996186,3.757879572118656,2,0.0429124288996186,3.757879572118656,0.1971493403288619,0.0557915359489811,0.042239303350073,1.3497701675615663,3,1,0.1971493403288619,1.0,2,0.0557915359489811,3.533678307568843,2,0.0557915359489811,3.533678307568843,0.7723504711536437,4.3927171958915565,8.394298752530855,0.0119447880142759,0.0160855672707279,,,,,1.911293981547824,0.919138116286656,0.2441667819892755,0.0321528325227372,0.1973749485907251,0.0380493137830177,0.1803111407133711,0.0321528325227372,0.1428498227890705,0.2441667819892755,0.1768532492580194,0.0780463545157759,0.1075705044287323
confirm_K4_i000720,bank,independent_confirmatory64,4,720,5.0,0.0,0.1,2027198623,8,0.2139511271007446,0.0095745054312798,1.6721606688112916,1.6720280229620674,1.6720275029467369,1.6720275021437865,0.000133166667505,0.0001336882887363,0.1305275892357229,0.0810447822337666,0.0236534457548483,1.8305903436061652,3,2,0.0810447822337666,1.6105612926348227,2,0.0810447822337666,1.6105612926348227,2,0.0810447822337666,1.6105612926348227,0.1315569102340504,0.0811301539899488,0.0239377379250148,1.825864288673528,3,2,0.0811301539899488,1.621553809084955,2,0.0811301539899488,1.621553809084955,2,0.0811301539899488,1.621553809084955,0.1176793565788955,1.1333748195243472,1.210504146475372,0.0069092312047026,0.0069581181545006,,,,,1.6840153927147412,0.8098402186167458,0.4067989182224281,0.0095745054312798,0.3413780241350242,0.0463107129414124,0.2132043023046957,0.0819574586380638,0.0537239931916406,0.0095745054312798,0.1166306984589183,0.071799410811561,0.4067989182224281
confirm_K4_i000721,bank,independent_confirmatory64,4,721,5.0,0.0,0.5,2027199632,8,0.2277377037036339,0.0164833256117371,1.9642250484526296,1.9640788923106465,1.964077161317108,1.9640771253320828,0.000147923120547,0.0001497260841356,0.0796718380537847,0.0379660025677964,0.0083832914464074,2.0156710397370485,3,2,0.0379660025677964,2.0985047849457805,3,0.0243777012156818,3.268226045962558,3,0.0243777012156818,3.268226045962558,0.0811918414230838,0.0386095079186977,0.0086862040375393,2.007899283012969,3,2,0.0386095079186977,2.1028975969870976,3,0.0245640962004335,3.305305465366597,3,0.0245640962004335,3.305305465366597,0.1601450578126488,1.1906818067838725,1.3264383108330349,0.0243777012156818,0.0245640962004335,,,,,1.968341437688228,0.94657214364302,0.2265031283501571,0.0164833256117371,0.1510176413376093,0.13475459398523,0.1457565220582559,0.1214096371763954,0.1122229631963551,0.2265031283501571,0.1213209877528332,0.1215488418690358,0.0164833256117371
confirm_K4_i000723,bank,independent_confirmatory64,4,723,5.0,2.0,0.1,2027201650,8,0.2000450631652764,0.0169671613511348,1.6102938525866175,1.6100582896980304,1.610057864781855,1.6100578642046994,0.0002359883819182,0.0002364144524049,0.3193137095745947,0.1928671820938599,0.1406997662071607,1.88613056492171,3,2,0.1928671820938599,1.6556145327990472,2,0.1928671820938599,1.6556145327990472,3,0.039252657948807,8.134830257636072,0.3196566364738633,0.1935600632326504,0.141189049622094,1.8878260578407455,3,2,0.1935600632326504,1.6514596613333945,2,0.1935600632326504,1.6514596613333945,3,0.0392834100057866,8.137191665050869,0.3449147267468457,1.5265188225557245,1.6107400577418294,0.039252657948807,0.0392834100057866,,,,,1.6768584963930595,0.8063984790062636,0.3611666834387279,0.0169671613511348,0.3216451582862147,0.1411699382652645,0.0169671613511348,0.0370537289662403,0.1626605540121582,0.2188632723093258,0.3611666834387279,0.0392893945546387,0.0228292671025094
confirm_K4_i000724,bank,independent_confirmatory64,4,724,5.0,2.0,0.5,2027202659,8,0.2384837053579614,0.0470782340250447,1.923911673076656,1.92297293195306,1.9228511356697373,1.9228322908299893,0.0010793822466665,0.0012388682094848,0.1152721703605925,0.0850099513181018,0.0211938334222297,2.1594904546312548,3,2,0.0850099513181018,1.3559844297434247,2,0.0850099513181018,1.3559844297434247,3,0.0260666135023748,4.422215043396042,0.1194382658772651,0.0923050508643353,0.0234939885152309,2.1734976413557097,3,2,0.0923050508643353,1.293951574251432,2,0.0923050508643353,1.293951574251432,3,0.026613281353398,4.487919557578902,0.4407395403144631,1.788075632170177,1.6848733245427094,0.0260666135023748,0.026613281353398,,,,,1.932971414175811,0.9295627578038564,0.290042933060129,0.0470782340250447,0.2025153892386661,0.1410993422717452,0.0470782340250447,0.0672699296721989,0.1466651418058738,0.290042933060129,0.1385209111224787,0.0947369732936763,0.0745865347488531
confirm_K4_i000726,bank,independent_confirmatory64,4,726,5.0,8.0,0.1,2027204677,8,0.2099465346626662,0.0008719629167971,1.1487817124787243,1.14834641813668,1.1483359269088038,1.1483355029145206,0.0004462095642039,0.0004575487806466,0.3833366758158586,0.2671959416196606,0.2183582688875515,1.8828948225253983,3,2,0.2671959416196606,1.4346650382943251,2,0.2671959416196606,1.4346650382943251,2,0.2671959416196606,1.4346650382943251,0.3836455772618278,0.2683541048783417,0.219237198542124,1.8865490338216944,3,2,0.2683541048783417,1.429624404052822,2,0.2683541048783417,1.429624404052822,2,0.2683541048783417,1.429624404052822,0.404370475026986,1.6788959547384876,2.2640854410748625,0.004194120167786,0.0062724783384914,,,,,1.2457576358897913,0.5990827878159203,0.5456170816200949,0.0008719629167971,0.4987274573791591,0.0248953383758216,0.0107730561895803,0.0070383934937165,0.5456170816200949,0.155529416531368,0.0008719629167971,0.223743937257846,0.0315308136147753
confirm_K4_i000727,bank,independent_confirmatory64,4,727,5.0,8.0,0.5,2027205686,8,0.1558545910907648,0.0609329666006628,1.943219696979679,1.9395451368326708,1.9387756111680443,1.938606631275152,0.0046130657045269,0.0057205511549385,0.1989106574307206,0.0618428070418158,0.0462460363744034,1.6679249819791993,3,2,0.0618428070418158,3.216391152753212,3,0.0534420616375405,3.72198697684588,3,0.0534420616375405,3.72198697684588,0.2177863919808582,0.0668998246451434,0.055515828932214,1.673915268854318,3,2,0.0668998246451434,3.255410505723476,3,0.0600776985463245,3.6250788104495753,3,0.0600776985463245,3.6250788104495753,0.5758696395931014,2.357765662049349,3.15485059067289,0.0534420616375405,0.0600776985463245,,,,,1.9618662629271555,0.9434582428041236,0.2416048775119778,0.0609329666006628,0.1765645805042292,0.0609329666006628,0.1409815345969027,0.1082274769606769,0.1045259292605704,0.2046686284734996,0.066634008880035,0.0724245777156745,0.2416048775119778
confirm_K4_i000728,bank,independent_confirmatory64,4,728,5.0,8.0,2.0,2027206695,8,0.2123231281144983,0.0816632765612037,2.0369657080426897,2.036184923647906,2.0360375937951063,2.036008827341729,0.0009568807009605,0.0011617434605146,0.0934878444376838,0.0498373051516035,0.0117304771045775,1.981174950431224,3,2,0.0498373051516035,1.8758607463484795,2,0.0498373051516035,1.8758607463484795,3,0.0225109542711759,4.152993396525615,0.1025318042046572,0.0515021000717354,0.0137318120728866,1.9225219408260987,3,2,0.0515021000717354,1.990827637355453,2,0.0515021000717354,1.990827637355453,3,0.0238028336049607,4.307546147921168,0.5056187306567338,2.022730354101796,2.405524908631379,0.0225109542711759,0.0238028336049607,,,,,2.041708671829933,0.9818543252630122,0.174591227562208,0.0816632765612037,0.0971716022909285,0.1677778805091261,0.0816632765612037,0.0950553901964497,0.0947033318619717,0.174591227562208,0.0988012476877486,0.1376045020836955,0.1498031435375964
confirm_K4_i000730,bank,independent_confirmatory64,4,730,0.2,0.0,0.5,2027208730,8,0.1050413784482039,0.0417946536768022,1.9562077094581876,1.9399535642562613,1.930576830359852,1.9250511034598052,0.0311566059983818,0.0515847936948841,0.290092882536847,0.1408435216463754,0.1048262311281904,1.698733733962821,3,2,0.1408435216463754,2.0596821149161637,2,0.1408435216463754,2.0596821149161637,2,0.1408435216463754,2.0596821149161637,0.3792668718431015,0.1612284777067306,0.1716804976451113,1.6204749611423883,3,2,0.1612284777067306,2.3523565888463933,2,0.1612284777067306,2.3523565888463933,3,0.0429245331230292,8.835666791204378,0.904364713407761,10.45639152276198,12.461171040607525,0.0289042045367191,0.0429245331230292,,,,,1.980898099836856,0.9526106217136676,0.2045708712703269,0.0417946536768022,0.1480961914770676,0.0417946536768022,0.2045708712703269,0.1406359549467827,0.1065895278060956,0.1324153793703956,0.1672979220011868,0.1548874734029107,0.0518082175254991
confirm_K4_i000731,bank,independent_confirmatory64,4,731,0.2,0.0,2.0,2027209739,8,0.1286667436174603,0.0698904176513824,2.0429482826064107,2.0419528788260166,2.0415639072803207,2.041407684302048,0.0015405983043628,0.0022420158066043,0.0925452199256656,0.0120424694770909,0.0087300218260903,1.1062585443892332,3,1,0.0925452199256656,1.0,1,0.0925452199256656,1.0,2,0.0120424694770909,7.684903839841112,0.1079858361074676,0.0133760778889448,0.0118760996863439,1.1038801150885185,3,1,0.1079858361074676,1.0,1,0.1079858361074676,1.0,2,0.0133760778889448,8.073056766267541,0.6847966417549007,3.1725550310362145,4.218503478995046,0.0045147562385867,0.0060199191708866,,,,,2.045815192662457,0.983829144343142,0.1700308016572776,0.0698904176513824,0.0900793932237455,0.1037709849157014,0.1301124268663266,0.1700308016572776,0.104751826245728,0.152602661991047,0.0698904176513824,0.1096892348715568,0.1591516458009798
confirm_K4_i000732,bank,independent_confirmatory64,4,732,0.2,2.0,0.1,2027210748,8,0.0188705069605798,0.0102795367189021,0.7629708758968949,0.7528343921688146,0.747529775272116,0.7441007336531805,0.0188701422437144,0.0310328423782839,0.5217674333372482,0.2920790455463627,0.3810595484516101,2.110986563570483,3,2,0.2920790455463627,1.786391188594959,3,0.1533235960737814,3.403047193637217,3,0.1533235960737814,3.403047193637217,0.5271041031956923,0.3420050736359586,0.4454968456653292,2.4421506844851018,3,3,0.2251458186750459,2.3411676321489416,3,0.2251458186750459,2.3411676321489416,3,0.2251458186750459,2.3411676321489416,0.7707440027025587,4.361936053095179,4.024068730477445,0.1533235960737814,0.2251458186750459,,,,,0.855130388457794,0.4112307902471708,0.7964504860747758,0.0102795367189021,0.7198343965257757,0.0111097957262119,0.7964504860747758,0.025792131341615,0.0650456957807311,0.0102795367189021,0.0202438134629123,0.0551226456227289,0.0159558952721226
confirm_K4_i000734,bank,independent_confirmatory64,4,734,0.2,2.0,2.0,2027212766,8,0.0195629660101731,0.0328139017942334,1.8505935889855585,1.839670574456175,1.8322667260824117,1.8271785138357532,0.0234150751498047,0.0409953480168843,0.3083170945619102,0.0344607594521028,0.0970232242141205,1.1191347091980075,3,1,0.3083170945619102,1.0,1,0.3083170945619102,1.0,2,0.0344607594521028,8.94690365110616,0.393618345598932,0.0550036167100487,0.1596244628110087,1.1637758146363426,3,1,0.393618345598932,1.0,1,0.393618345598932,1.0,3,0.0407880248085441,9.65034093821767,0.9520372567916644,20.8495163768324,36.647899896350914,0.0278612539740587,0.0407880248085441,,,,,1.8668241208003216,0.8977526337635079,0.3155198294295757,0.0328139017942334,0.2412501139771364,0.0465852730025717,0.1816455564754933,0.1380554188021534,0.3155198294295757,0.0670923607173412,0.0328139017942334,0.1124127745703935,0.1058748852082376
