dataset_replicate,hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,mean_excess_ce_H,K
2,confirm_K3_i000321,GRU,0.03438419047700847,0.0264446655143275,32,0.011695121752293225,3
2,confirm_K3_i000321,Transformer,0.0411317981126586,0.0288156288870431,32,0.03569311713384715,3
2,confirm_K3_i000341,GRU,0.01885684263941949,0.014064900427072867,8,0.024629782065940933,3
2,confirm_K3_i000341,Transformer,0.019723985695748507,0.014094719258384765,256,0.019685040960901033,3
2,confirm_K3_i000975,GRU,0.03930005896160671,0.019838444606618134,32,0.04098461051338684,3
2,confirm_K3_i000975,Transformer,0.04644178500601474,0.037620165371499,128,0.04881185086621613,3
2,confirm_K3_i001202,GRU,0.021854925315728926,0.016205425337076935,32,0.026760865291713787,3
2,confirm_K3_i001202,Transformer,0.02093906703623154,0.015395422431617067,8,0.006863351579267918,3
2,confirm_K4_i000373,GRU,0.020199733595447918,0.012219496737799568,8,0.01325403708689209,4
2,confirm_K4_i000373,Transformer,0.022877814758810202,0.014640722907389367,128,0.014122572377053834,4
2,confirm_K4_i000448,GRU,0.04594937762908201,0.03042023468368857,8,0.03684759508534705,4
2,confirm_K4_i000448,Transformer,0.03679797592585214,0.0328893881326511,32,0.028449875572963905,4
2,confirm_K4_i000654,GRU,0.05441728697804518,0.03420102322042697,8,0.05854737079683844,4
2,confirm_K4_i000654,Transformer,0.062380825625988706,0.04207503943674923,8,0.07464040416274374,4
2,confirm_K4_i000909,GRU,0.036851844402252726,0.027600877145479236,8,0.030591872011824534,4
2,confirm_K4_i000909,Transformer,0.037386933774669555,0.034133881921981565,128,0.03188870703200907,4
2,confirm_K5_i000202,GRU,0.03509789842188762,0.0330083247524832,32,0.0315153511222077,5
2,confirm_K5_i000202,Transformer,0.03949193565507127,0.022834079773229866,32,0.01732349078912266,5
2,confirm_K5_i000312,GRU,0.06374148090204693,0.05514585698941351,8,0.056082967622013855,5
2,confirm_K5_i000312,Transformer,0.03889623710224069,0.030061076635324566,256,0.09155519798689284,5
2,confirm_K5_i000834,GRU,0.02792382291632057,0.015835572507454165,8,0.033645915291114784,5
2,confirm_K5_i000834,Transformer,0.036102171836997154,0.020743386861389067,128,0.037863400257035225,5
2,confirm_K5_i001133,GRU,0.023730171626238215,0.012030276426841999,32,0.021006333424516875,5
2,confirm_K5_i001133,Transformer,0.020783824231647936,0.013506034248220033,8,0.023192158683010274,5
2,confirm_K6_i000105,GRU,0.04357939019097823,0.026015620369029466,128,0.027696984828304384,6
2,confirm_K6_i000105,Transformer,0.038349600467105865,0.0313588361380018,256,0.012856524135461601,6
2,confirm_K6_i000708,GRU,0.055739319146680136,0.04657290164004733,8,0.048334265361392716,6
2,confirm_K6_i000708,Transformer,0.04560674245946288,0.03618914787528794,8,0.06200594990592617,6
2,confirm_K6_i000997,GRU,0.025320345579317474,0.019013409734009636,8,-0.0019405828955822914,6
2,confirm_K6_i000997,Transformer,0.022457584167589258,0.015817028221819435,256,0.019265551413789,6
2,confirm_K6_i001189,GRU,0.032882742216538884,0.016232259841018132,256,0.03503240529121979,6
2,confirm_K6_i001189,Transformer,0.03508456662959629,0.0268972476597593,8,0.05748784053744893,6
