hmm_id,source,cohort,K,bank_index,alpha_t,self_bias,alpha_e,gen_seed,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,pred_h4_m1_sv3,pred_h4_m2_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5,symbol_entropy,symbol_entropy_normalized,max_symbol_prob,min_symbol_prob_recomputed,marginal_l2_from_uniform,symbol_prob_0,symbol_prob_1,symbol_prob_2,symbol_prob_3,symbol_prob_4,symbol_prob_5,symbol_prob_6,symbol_prob_7,context_entropy_h1,context_effective_count_h1,context_support_h1,context_max_prob_h1,context_entropy_h2,context_effective_count_h2,context_support_h2,context_max_prob_h2,context_entropy_h3,context_effective_count_h3,context_support_h3,context_max_prob_h3,context_entropy_h4,context_effective_count_h4,context_support_h4,context_max_prob_h4,selection_order,pair_id,contrast,pair_role
confirm_K3_i001038,bank,independent_confirmatory64,3,1038,1.0,2.0,0.1,2027419689,8,0.2303782450691803,3.4083070924987555e-05,1.5724457105816976,1.5696313013952743,1.5688856177908916,1.5686950036650398,0.0037507069166577,0.0048776187727443,0.179260073258682,0.0242977445776127,0.0327245542562669,1.0945172965104797,2,1,0.179260073258682,1.0,1,0.179260073258682,1.0,2,0.0242977445776127,7.3776425085909905,0.2006144801484723,0.0244622881507149,0.0408445731868104,1.0794124571936998,2,1,0.2006144801484723,1.0,1,0.2006144801484723,1.0,2,0.0244622881507149,8.200969545958397,0.5386788605431313,2.1676873537105603,1.3472628258824038,,,,,,,1.5825429083285107,0.76104226861318,0.2880118225567632,3.408307092498756e-05,0.3391762447287292,0.2880118225567632,0.2732944510097442,0.0636339115668988,0.0461184397480554,0.0197626204458976,3.408307092498756e-05,0.2729950882570208,0.0361495833446949,1.5825429083285107,4.867317229119485,8,0.2880118225567632,3.1549886189102083,23.45277017182892,64,0.0826626513399085,4.724619920305484,112.68765994220928,512,0.0241756118231976,6.293505538096374,541.0466682669479,4096,0.0071461471136777,25,gain_K3_p13,gain_contrast,high
confirm_K3_i001170,bank,independent_confirmatory64,3,1170,1.0,0.0,0.1,2027552962,8,0.2514781266847741,0.0007546631991996,1.5406950400899275,1.5405404546746913,1.5405395030095466,1.5405394979140543,0.0001555421758734,0.0001565040320026,0.3823329338169623,0.0042492879503629,0.1461965287291708,1.0012357374768377,2,1,0.3823329338169623,1.0,1,0.3823329338169623,1.0,1,0.3823329338169623,1.0,0.3825932495681139,0.0046912022361692,0.1463996019935098,1.0014746589416408,2,1,0.3825932495681139,1.0,1,0.3825932495681139,1.0,1,0.3825932495681139,1.0,0.3635168580736799,1.5711335212641986,2.24360419269503,,,,,,,1.624344424994073,0.7811445488781947,0.3610164069976288,0.0007546631991996,0.3291860239511343,0.0306465041925644,0.1425282885116556,0.0440128724599705,0.1917671925515745,0.0230362381913169,0.0007546631991996,0.2062378338960893,0.3610164069976288,1.624344424994073,5.075090843649128,8,0.3610164069976288,3.165039465084001,23.689678929551988,64,0.1043204514771579,4.705579919758692,110.5623836704761,512,0.0478396344031522,6.246119422768238,516.0065312012582,4096,0.0140535006664749,26,gain_K3_p14,gain_contrast,low
confirm_K3_i000162,bank,independent_confirmatory64,3,162,0.2,0.0,0.1,2026535261,8,0.1367652113411348,0.0007439675662826,1.587818971014926,1.580213066408774,1.5790157938413902,1.578839792544503,0.0089791784704229,0.010528453631581,0.301845530173152,0.0136643651181004,0.0912974389595919,1.0148157469533532,2,1,0.301845530173152,1.0,1,0.301845530173152,1.0,1,0.301845530173152,1.0,0.3277840953440324,0.0144392276989205,0.107650904457047,1.014132089311536,2,1,0.3277840953440324,1.0,1,0.3277840953440324,1.0,1,0.3277840953440324,1.0,0.3628204498472913,1.569416343886643,2.8189243378492983,,,,,,,1.6294254176134662,0.783587989829792,0.2941704068102616,0.0007439675662826,0.2999329234135278,0.0022018886580045,0.1093078205927552,0.2491882839417643,0.0186614426069771,0.0007439675662826,0.1407485838649279,0.2941704068102616,0.1849776059590265,1.6294254176134662,5.100942964368191,8,0.2941704068102616,3.217244388628393,24.959247345722208,64,0.1016973399721324,4.797457455037167,121.20186424025394,512,0.0415012763261448,6.376473248878557,587.8508438973772,4096,0.0169360943066476,27,gain_K3_p14,gain_contrast,high
confirm_K3_i000012,bank,independent_confirmatory64,3,12,1.0,2.0,0.1,2026383809,8,0.1430148130267273,6.895136119522283e-05,1.3051433220166793,1.3045288426253991,1.3045243376604785,1.3045243056439315,0.0006190163727477,0.0006235853707621,0.2975649199436811,0.2456136080040037,0.1488709260178337,1.96417630077186,2,2,0.2456136080040037,1.2115164235477969,2,0.2456136080040037,1.2115164235477969,2,0.2456136080040037,1.2115164235477969,0.2989281579153647,0.2465563218845139,0.1501480634558933,1.9639069741647184,2,2,0.2465563218845139,1.2124132759223332,2,0.2465563218845139,1.2124132759223332,2,0.2465563218845139,1.2124132759223332,0.2990269863016314,1.426588442719,1.772539914501909,,,,,,,1.386275512169692,0.6666576022376743,0.4774613830272658,6.895136119522283e-05,0.4245619320794123,0.1326841414340611,8.938329134810716e-05,0.0932589473134146,0.088587756429289,0.2076856255967972,6.895136119522283e-05,0.4774613830272658,0.0001638115466288,1.386275512169692,3.999924604909768,8,0.4774613830272658,2.691418834186371,14.752592560974437,64,0.2706003349807244,3.9959476768117694,54.37734836574344,512,0.1533689761155412,5.30047201447223,200.43139416921832,4096,0.0869254157068507,28,gain_K3_p15,gain_contrast,low
confirm_K3_i000306,bank,independent_confirmatory64,3,306,1.0,0.0,0.1,2026680642,8,0.2314865003288507,7.301245731672838e-05,1.3180540356343609,1.2976624620548756,1.2944131585189065,1.293613823841936,0.0244402117924247,0.0292881846823345,0.3276407683860815,0.0996349018654045,0.1172755867783507,1.3363961408611014,2,1,0.3276407683860815,1.0,2,0.0996349018654045,3.288413620647584,2,0.0996349018654045,3.288413620647584,0.352834976991802,0.1788486830421028,0.1564793724147,1.6594120928760605,2,2,0.1788486830421028,1.9728128325593592,2,0.1788486830421028,1.9728128325593592,2,0.1788486830421028,1.9728128325593592,0.465205603541109,1.869877483050384,2.18491027160792,,,,,,,1.3577191320022584,0.6529248862199087,0.4183146461504844,7.301245731672839e-05,0.4121028569169694,0.0092420318933605,0.4183146461504844,0.2280406360181806,0.0907899822878507,7.301245731672839e-05,0.2438208919212295,0.0021213725653197,0.0075974267062576,1.3577191320022584,3.887316726177024,8,0.4183146461504844,2.6757731676366188,14.523574657592006,64,0.2001844655710485,3.9734356296914943,53.16687912825298,512,0.0804269937956776,5.267848788210401,193.9981820630499,4096,0.0312005269379577,29,gain_K3_p15,gain_contrast,high
confirm_K4_i000291,bank,independent_confirmatory64,4,291,5.0,2.0,0.1,2026765490,8,0.1547622130437893,0.0017599662219267,1.5723498344790576,1.5722836733525003,1.572283564651818,1.5722835644528137,6.627002624393086e-05,6.63791249351231e-05,0.3242903712045547,0.1068778347289194,0.1174637296616267,1.4364995473390996,3,2,0.1068778347289194,3.0342153920602097,2,0.1068778347289194,3.0342153920602097,2,0.1068778347289194,3.0342153920602097,0.3244157226199148,0.1070812354041672,0.117590353856674,1.4373948329099486,3,2,0.1070812354041672,3.0296225234555862,2,0.1070812354041672,3.0296225234555862,2,0.1070812354041672,3.0296225234555862,0.2961356572032715,1.4207283125418866,1.6502538522677486,0.0296076552482057,0.0296378440172333,,,,,1.6332187323477791,0.7854121886150335,0.3211745454977196,0.0017599662219267,0.3161430263790422,0.0210286456861486,0.0017599662219267,0.2716822238707262,0.1311711868603882,0.3211745454977196,0.0099108797770364,0.1395516209328837,0.1037209311531702,1.6332187323477791,5.120329192259692,8,0.3211745454977196,3.205568566826837,24.669522301790085,64,0.1526560065061311,4.777852240179338,118.8488170173346,512,0.0728008812040777,6.350135804831156,572.5704615688236,4096,0.034719425356044,30,gain_K4_p16,gain_contrast,low
confirm_K4_i000657,bank,independent_confirmatory64,4,657,1.0,0.0,0.1,2027135022,8,0.2097336811657565,0.0028505597941965,1.61615846284028,1.6107242604817582,1.610172490274641,1.6101016956147456,0.0060567672255344,0.0067501267524425,0.2407381584249673,0.130685366311721,0.0770006795634737,1.8994788096614024,3,2,0.130685366311721,1.8421202405381767,2,0.130685366311721,1.8421202405381767,3,0.0443526061646935,5.427824410837085,0.2450867394965953,0.160206433157992,0.0878000048274526,2.02883415090677,3,2,0.160206433157992,1.529818339160552,2,0.160206433157992,1.529818339160552,3,0.0454576036013166,5.391545529898907,0.446452194948561,1.806528706056515,1.763041513112545,0.0443526061646935,0.0454576036013166,,,,,1.6498785603206714,0.7934238723478851,0.3840198884010633,0.0028505597941965,0.3334195147527614,0.0028505597941965,0.1785324095851174,0.0285718366842194,0.0382947400634507,0.1927655242502007,0.0553298843687497,0.1196351568530021,0.3840198884010633,1.6498785603206712,5.2063475316130265,8,0.3840198884010632,3.2660370231609512,26.20727445441281,64,0.1594526048361687,4.876761283642709,131.2050391125813,512,0.0670245851655681,6.48693377391735,656.5072741748584,4096,0.0284911509388161,31,gain_K4_p16,gain_contrast,high
confirm_K4_i000183,bank,independent_confirmatory64,4,183,5.0,2.0,0.1,2026656450,8,0.210946768702875,0.0003688177866756,1.736761052417844,1.7366327906366887,1.736632442203425,1.7366324416055816,0.0001286108122624,0.0001289604412129,0.2186524575251485,0.117945468675823,0.0617607821019992,1.713925936774818,3,2,0.117945468675823,1.8538436446941595,2,0.117945468675823,1.8538436446941595,2,0.117945468675823,1.8538436446941595,0.2188157859964319,0.1186440851567729,0.0619976189675498,1.7177235824329091,3,2,0.1186440851567729,1.844304212108804,2,0.1186440851567729,1.844304212108804,2,0.1186440851567729,1.844304212108804,0.15645441863284,1.1854723942472316,1.3571426741667976,0.0063836775492516,0.0063915431333836,,,,,1.767356090249049,0.8499186222957369,0.2690328815933659,0.0003688177866756,0.2622131119170551,0.2690328815933659,0.0562691497090507,0.2253888234099002,0.0583090927044583,0.0003688177866756,0.2214290030703923,0.1028370477810871,0.0663651839450695,1.7673560902490488,5.855351856254279,8,0.2690328815933659,3.504117142666893,33.25207405222166,64,0.0892517371848,5.240749933303582,188.81164546614403,512,0.0296108740776452,6.977382375507007,1072.108313786939,4096,0.0098239418348233,32,gain_K4_p17,gain_contrast,low
confirm_K4_i000930,bank,independent_confirmatory64,4,930,1.0,2.0,0.1,2027410649,8,0.1078125397584044,0.0006904377906844,1.7454680620097027,1.7402658978991168,1.7390091968846348,1.7387194148644225,0.0067486471452802,0.0085849122001868,0.2853804532472626,0.1365094788786875,0.1022369123301,1.7734298599667706,3,2,0.1365094788786875,2.090554118229935,2,0.1365094788786875,2.090554118229935,3,0.046476568405554,6.140308181900091,0.303824343252369,0.1478429154002386,0.1170958828775328,1.8095316782054776,3,2,0.1478429154002386,2.055048376378802,2,0.1478429154002386,2.055048376378802,3,0.0541213792392373,5.61375832477122,0.5394506430657993,2.17131993551534,1.9927710030473065,0.046476568405554,0.0541213792392373,,,,,1.7934788795100307,0.8624810284694054,0.2888523139471243,0.0006904377906844,0.2399843406707241,0.2888523139471243,0.1678166152990715,0.1018023617836653,0.1478461560577299,0.1537431526275834,0.0174726311539049,0.0006904377906844,0.121776331340236,1.7934788795100307,6.010325335892409,8,0.2888523139471243,3.5389469415197325,34.43064261334591,64,0.0877884081263468,5.27921283941885,196.2153615481622,512,0.0279254040278856,7.018222036303484,1116.7992230373457,4096,0.0091491444254663,33,gain_K4_p17,gain_contrast,high
confirm_K4_i000480,bank,independent_confirmatory64,4,480,5.0,2.0,0.1,2026956310,8,0.1729574289833685,0.0181958717433157,1.8014092793326717,1.801256223890256,1.8012555078186057,1.801255503678603,0.0001537756540685,0.0001545000057239,0.2315606841916783,0.1151168195655183,0.0670785891678835,1.6772989346083087,3,2,0.1151168195655183,2.011527812057789,2,0.1151168195655183,2.011527812057789,2,0.1151168195655183,2.011527812057789,0.2320203583248378,0.1153363223115789,0.0673627609333196,1.6798006943554251,3,2,0.1153363223115789,2.011685076085911,2,0.1153363223115789,2.011685076085911,2,0.1153363223115789,2.011685076085911,0.2177606952287777,1.2783811729998216,1.497725600985531,0.0143651159997155,0.0150614412249653,,,,,1.83297970290554,0.8814769091439827,0.2526987384720782,0.0181958717433157,0.2368039302618942,0.2526987384720782,0.0181958717433157,0.0803986873020893,0.2149975618808143,0.1853787965003376,0.1614080824103969,0.0419036278830895,0.0450186338078781,1.83297970290554,6.252489490406065,8,0.2526987384720783,3.634388982238211,37.87870126556663,64,0.0676360559351626,5.435645206128466,229.4408371632041,512,0.0202973799359465,7.236900713947072,1389.7799634907346,4096,0.0055928659362827,34,gain_K4_p18,gain_contrast,low
