outer_test_index,alpha,inner_standardized_rmse,selected
29,4.0,0.7325775856252115,False
29,8.0,0.7308910045495204,True
29,16.0,0.7317488275971847,False
29,32.0,0.7362926957861934,False
30,1.0,0.7475350125585781,False
30,2.0,0.7432174502854604,False
30,4.0,0.7398113969616104,False
30,8.0,0.7379020031517205,True
30,16.0,0.7384371640200932,False
30,32.0,0.7426155983032584,False
31,1.0,0.7434591017860857,False
31,2.0,0.7396091715688886,False
31,4.0,0.7365319006257133,False
31,8.0,0.7350035661457931,True
31,16.0,0.7361174664635748,False
31,32.0,0.740959922583316,False
32,1.0,0.740028082382854,False
32,2.0,0.7359687296680335,False
32,4.0,0.7326900079710184,False
32,8.0,0.731057407502794,True
32,16.0,0.7322262546407667,False
32,32.0,0.7373220490614003,False
33,1.0,0.7456241364645326,False
33,2.0,0.7417848525758797,False
33,4.0,0.7387247124574915,False
33,8.0,0.7371768604305529,True
33,16.0,0.7382243575983911,False
33,32.0,0.7430090491922902,False
34,1.0,0.7390634825908661,False
34,2.0,0.7355040221279932,False
34,4.0,0.7325464185204836,False
34,8.0,0.7309244093087583,True
34,16.0,0.7317724340252143,False
34,32.0,0.7363361585618583,False
35,1.0,0.7370655548812629,False
35,2.0,0.7355760367622202,False
35,4.0,0.7348687001566803,True
35,8.0,0.7353797508188036,False
35,16.0,0.7380574218729307,False
35,32.0,0.7440603821066782,False
36,1.0,0.7391795059294092,False
36,2.0,0.7354408648288028,False
36,4.0,0.7324486452686372,False
36,8.0,0.7309422436121653,True
36,16.0,0.732018196463072,False
36,32.0,0.7368301221516363,False
37,1.0,0.7404560792915348,False
37,2.0,0.7366090870287079,False
37,4.0,0.7335448919711695,False
37,8.0,0.7319838668855717,True
37,16.0,0.7329490603534752,False
37,32.0,0.7375392666550564,False
38,1.0,0.7410236188813224,False
38,2.0,0.737198986204865,False
38,4.0,0.7341425951143109,False
38,8.0,0.732563287428897,True
38,16.0,0.7335200908870979,False
38,32.0,0.7381608924169913,False
39,1.0,0.743254489917698,False
39,2.0,0.7392833570668718,False
39,4.0,0.7363716858550868,False
39,8.0,0.7351879337600498,True
39,16.0,0.7366375280129962,False
39,32.0,0.7417100035277147,False
40,1.0,0.7378499307094994,False
40,2.0,0.7341821865650163,False
40,4.0,0.7312795169495049,False
40,8.0,0.7298377377581674,True
40,16.0,0.7309374197995003,False
40,32.0,0.735760867511019,False
41,1.0,0.7392834770971771,False
41,2.0,0.7356791078225273,False
41,4.0,0.7328599371542514,False
41,8.0,0.731521838110307,True
41,16.0,0.7327301534162552,False
41,32.0,0.7376351145629226,False
42,1.0,0.7461549703839174,False
42,2.0,0.7420540546399759,False
42,4.0,0.7386975702096275,False
42,8.0,0.7368076056253452,True
42,16.0,0.7374051203185016,False
42,32.0,0.7415926814809585,False
43,1.0,0.7452890650782606,False
43,2.0,0.7411108177622472,False
43,4.0,0.7377589894724361,False
43,8.0,0.736012675181837,True
43,16.0,0.7369316196627613,False
43,32.0,0.7415877992738908,False
44,1.0,0.7461484300665981,False
44,2.0,0.7423383360350797,False
44,4.0,0.7392731307633107,False
44,8.0,0.737664275281806,True
44,16.0,0.7386177864631172,False
44,32.0,0.7433102785656892,False
45,1.0,0.7382761123967101,False
45,2.0,0.7343052719327648,False
45,4.0,0.7311872525152472,False
45,8.0,0.7297468460075673,True
45,16.0,0.731094075660098,False
45,32.0,0.7362633147843658,False
46,1.0,0.7435180752093966,False
46,2.0,0.7394468585178499,False
46,4.0,0.7361887512447534,False
46,8.0,0.7344285512753495,True
46,16.0,0.7351942729050704,False
46,32.0,0.7396772119142924,False
47,1.0,0.7465180840915805,False
47,2.0,0.7426584774519447,False
47,4.0,0.7396288877749797,False
47,8.0,0.7381425631116287,True
47,16.0,0.7392864828889381,False
47,32.0,0.7441824987756639,False
48,1.0,0.7414534358495849,False
48,2.0,0.737596680126138,False
48,4.0,0.7344647951173734,False
48,8.0,0.7327511354325146,True
48,16.0,0.7334724742265628,False
48,32.0,0.7377787647421247,False
49,1.0,0.7546048825568961,False
49,2.0,0.7502420645998062,False
49,4.0,0.7466555792065017,False
49,8.0,0.7446099483441367,True
49,16.0,0.7451600114476533,False
49,32.0,0.749446821680656,False
50,1.0,0.7418653286938968,False
50,2.0,0.7378730684888339,False
50,4.0,0.7346939083991605,False
50,8.0,0.733084392338887,True
50,16.0,0.7340446792297936,False
50,32.0,0.7386172986703268,False
51,1.0,0.7392436254384346,False
51,2.0,0.7349102163265689,False
51,4.0,0.7312591314433723,False
