hmm_id,source,source_file,K,vocab_size,min_stationary_prob,min_symbol_prob,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,bayes_gap_1_to_H,context_gain_area,pred_h4_m1_sv1,pred_h4_m1_sv2,pred_h4_m1_signal,pred_h4_m1_effective_rank,pred_h4_m1_numerical_rank,pred_h4_m1_r90,pred_h4_m1_sigma90,pred_h4_m1_kappa90,pred_h4_m1_r95,pred_h4_m1_sigma95,pred_h4_m1_kappa95,pred_h4_m1_r99,pred_h4_m1_sigma99,pred_h4_m1_kappa99,pred_h4_m2_sv1,pred_h4_m2_sv2,pred_h4_m2_sv3,pred_h4_m2_signal,pred_h4_m2_effective_rank,pred_h4_m2_numerical_rank,pred_h4_m2_r90,pred_h4_m2_sigma90,pred_h4_m2_kappa90,pred_h4_m2_r95,pred_h4_m2_sigma95,pred_h4_m2_kappa95,pred_h4_m2_r99,pred_h4_m2_sigma99,pred_h4_m2_kappa99,lambda2_abs,tau_hidden,tau_observed_proxy,bank_index,alpha_t,self_bias,alpha_e,gen_seed,pred_h4_m1_sv3,pred_h4_m1_sv4,pred_h4_m2_sv4,pred_h4_m1_sv5,pred_h4_m2_sv5
bank_K4_i001162,bank,,4,8,0.0679316057610365,0.0357943719597347,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0116047522897129,0.0151091730031913,0.2839230377715221,0.0635019415070144,0.0847071570319297,1.218248343493742,3,1,0.2839230377715221,1.0,1,0.2839230377715221,1.0,2,0.0635019415070144,4.471092238024876,0.318033917286688,0.0669034160158965,0.0103166311511931,0.1057280724976218,1.2010629334317229,3,1,0.318033917286688,1.0,1,0.318033917286688,1.0,2,0.0669034160158965,4.753627486093114,0.6258663458686509,2.672841614106505,4.836643926067509,1162.0,0.2,0.0,0.5,21833904.0,0.0078974096614164,,,,
bank_K5_i000458,bank,,5,8,0.1471714365404879,0.0737979388222331,2.006021973014011,2.0059383037303125,2.005923334218481,2.0059206982416304,0.0001012747723807,0.0001215162379133,0.0327856626103034,0.0091275492541345,0.0011813691893296,1.426683466279878,4,1,0.0327856626103034,1.0,2,0.0091275492541345,3.591945844110592,3,0.0046228058309772,7.09215654064634,0.0355503787505513,0.0096543170404922,0.0052675247669251,0.0013868427851138,1.4248115476145553,4,1,0.0355503787505513,1.0,2,0.0096543170404922,3.682329739270602,3,0.0052675247669251,6.74897230171038,0.424386567256908,1.737277038922614,1.4758390189088595,458.0,5.0,8.0,2.0,21223109.0,0.0046228058309772,0.0013367974399449,0.0014355142345889,,
bank_K5_i000474,bank,,5,8,0.0787466112611445,0.0036874874138662,1.5102328975129922,1.4989994845815842,1.4978455914919353,1.4976274855575182,0.0126054119554739,0.0141955169139569,0.5544878086560838,0.4567421601977225,0.6368319772626408,3.1452832538954847,4,3,0.2936745248024729,1.8881031952942984,4,0.1857878357007657,2.984521599945623,4,0.1857878357007657,2.984521599945623,0.5657187924718542,0.4622427231235429,0.2981495398942013,0.6675620771625939,3.2132264760830647,4,3,0.2981495398942013,1.897433055481488,4,0.2120444335204033,2.6679256940617573,4,0.2120444335204033,2.6679256940617573,0.6368119135986517,2.753394280931699,3.4749379836849807,474.0,1.0,8.0,0.1,21239270.0,0.2936745248024729,0.1857878357007657,0.2120444335204033,,
bank_K5_i000809,bank,,5,8,0.1791894260130875,0.0933082093446563,2.0695069688227035,2.069431753261909,2.069426774438765,2.069426430290892,8.053853181211323e-05,8.620565070449615e-05,0.0401448256463759,0.0239839578473777,0.002540089756922,2.6967750086995146,4,3,0.0147360617537798,2.72425742489024,4,0.0116662324984597,3.4411131144245664,4,0.0116662324984597,3.4411131144245664,0.0413617136792766,0.0247852415786269,0.0153476186330096,0.0027040551298285,2.7038332015900464,4,3,0.0153476186330096,2.6949922765422314,4,0.0119752316690265,3.453938497595595,4,0.0119752316690265,3.453938497595595,0.2754570794971372,1.3801804857964226,1.696178563020854,809.0,5.0,8.0,2.0,21577489.0,0.0147360617537798,0.0116662324984597,0.0119752316690265,,
bank_K5_i001027,bank,,5,8,0.010428265944735,0.0396305876267563,1.855939049188168,1.8498541205397303,1.847910035221848,1.847380965057541,0.0085580841306269,0.0115603097771226,0.2151147804176514,0.0294664582517408,0.0471993284437003,1.1062675268876283,4,1,0.2151147804176514,1.0,1,0.2151147804176514,1.0,2,0.0294664582517408,7.30032698805744,0.2513290711123296,0.0372789632935232,0.012119202229612,0.0647030179477124,1.1272741924685372,4,1,0.2513290711123296,1.0,1,0.2513290711123296,1.0,2,0.0372789632935232,6.741847114509081,0.6586349199628712,2.929415041196464,3.232802989298716,1027.0,0.2,0.0,0.5,21797604.0,0.0075256867885758,0.0002270815374395,0.0003461135707746,,
bank_K5_i001052,bank,,5,8,0.1689026871376355,0.0727490217596445,2.052837155355301,2.052770173320006,2.052760527047413,2.052758939434839,7.821592046175496e-05,9.10374182025997e-05,0.0395048269357031,0.0121601124439024,0.0017713170646916,1.5814275646434033,4,2,0.0121601124439024,3.248722174071034,2,0.0121601124439024,3.248722174071034,3,0.0067231560636724,5.875934837979063,0.0412365588806185,0.0124652487253277,0.0071395399728894,0.0019291068734687,1.586708744286928,4,2,0.0124652487253277,3.3081216259111903,2,0.0124652487253277,3.3081216259111903,4,0.0047220364616656,8.732791289390615,0.4264030337169851,1.7433843949352343,1.6416594627563272,1052.0,5.0,8.0,2.0,21822829.0,0.0067231560636724,0.0041972075677691,0.0047220364616656,,
bank_K5_i001077,bank,,5,8,0.1606180148761331,0.0037700046480167,1.5692538128774576,1.569127761534777,1.569127020756254,1.5691270137621776,0.00012679911528,0.0001275538819558,0.3471779753713926,0.2128188374615363,0.1674859743212365,1.895826662104372,4,2,0.2128188374615363,1.6313310396413552,2,0.2128188374615363,1.6313310396413552,2,0.2128188374615363,1.6313310396413552,0.3474091575349265,0.2129354957900654,0.0385723701462771,0.1677304611334979,1.897706127397661,4,2,0.2129354957900654,1.631522993599149,2,0.2129354957900654,1.631522993599149,3,0.0385723701462771,9.006684220271001,0.363286273870091,1.570564539386056,1.7455710308712624,1077.0,5.0,8.0,0.1,21848071.0,0.0384037111709926,0.0136647403221738,0.0144216950566898,,
bank_K6_i000011,bank,,6,8,0.0797386938768613,0.0637805968654293,2.0301839505793025,2.030049703628082,2.0300179382746384,2.0300115154595293,0.0001724351197731,0.0002170461034349,0.0364786377291066,0.0130689359585254,0.0015486474016915,1.6314699149638257,5,2,0.0130689359585254,2.791247722452105,2,0.0130689359585254,2.791247722452105,3,0.006544434899415,5.573993521177364,0.0396746154793873,0.0156234825813167,0.0085060101839416,0.0018969240858039,1.7578919805942996,5,2,0.0156234825813167,2.5394220061301755,2,0.0156234825813167,2.5394220061301755,3,0.0085060101839416,4.664303783022551,0.4936311069509588,1.974844848739852,1.9669891515937483,11.0,1.0,0.0,2.0,20871814.0,0.006544434899415,0.0020540365361268,0.0022735366003095,0.0003325804980586,0.0011111194695995
bank_K6_i000247,bank,,6,8,0.0246841221982805,0.0661305181122696,1.8074791592686523,1.7625936326718905,1.743181750706885,1.7339508053818358,0.0735283538868165,0.1114021265019205,0.5717709029233169,0.1757869288477828,0.3664664366244928,1.5111525880015002,5,2,0.1757869288477828,3.252636055883449,2,0.1757869288477828,3.252636055883449,3,0.0804522780333826,7.106957278277037,0.6579495974735753,0.2289314097557531,0.1287643120960208,0.506454709838049,1.694888343105411,5,2,0.2289314097557531,2.874003170537156,2,0.2289314097557531,2.874003170537156,3,0.1287643120960208,5.109720129463634,0.8923480211947094,9.289192926111395,21.15423550127234,247.0,0.2,2.0,0.5,21110091.0,0.0804522780333826,0.0458865860935264,0.0609478091853107,0.0080795431141248,0.0291986837991414
bank_K6_i000250,bank,,6,8,0.0300911322907847,0.0360552983204193,1.8421335145261288,1.794569661253614,1.770746101849806,1.756448451026393,0.0856850634997361,0.1381039245503708,0.4723425387680933,0.3156109345952239,0.4318505133453504,3.54638086857762,5,4,0.1647818582960775,2.86647173209684,4,0.1647818582960775,2.86647173209684,5,0.1305265739394512,3.6187461641887873,0.557213324070597,0.4595342272600144,0.3300308227344622,0.7855710020837056,4.266235629072591,5,4,0.2850399582911597,1.95486039014018,5,0.2715593595533595,2.051902482709709,5,0.2715593595533595,2.051902482709709,0.9650531261970038,28.614862823989245,18.529366237649253,250.0,0.2,8.0,0.5,21113118.0,0.2548382429140344,0.1647818582960775,0.2850399582911597,0.1305265739394512,0.2715593595533595
bank_K6_i000271,bank,,6,8,0.0199119358368304,0.0612436665687426,1.929400112001994,1.887000699134708,1.866819369706776,1.852535304238104,0.07686480776389,0.1256142681291647,0.4257847913249797,0.3014068658491645,0.2776458542183452,2.060837293259141,5,2,0.3014068658491645,1.412657903878204,2,0.3014068658491645,1.412657903878204,3,0.0736748468875867,5.77924229655534,0.4866961154996539,0.4546301441564966,0.1052745995710889,0.4550191253221622,2.213632405580107,5,2,0.4546301441564966,1.0705319956349382,2,0.4546301441564966,1.0705319956349382,3,0.1052745995710889,4.623110583963816,0.9551516857708826,22.29738212435995,28.08549455066144,271.0,0.2,0.0,0.5,21134324.0,0.0736748468875867,0.0088835994453136,0.0193461271044618,0.000406830011493,0.0006592079775826
bank_K6_i000573,bank,,6,8,0.0533567195882635,0.0004781007994627,0.9067369979109292,0.8182109381600271,0.8058951499067842,0.800920539983585,0.1058164579273442,0.1280814660269855,0.890751378069658,0.8087077816181717,2.455829457810548,4.271473663344946,5,4,0.659568431598706,1.350506384774352,4,0.659568431598706,1.350506384774352,5,0.2686153511231958,3.316085154273741,0.9143273376437632,0.8771747807695828,0.8052319697822662,2.961153092535634,4.546072325918401,5,4,0.7317901480568645,1.2494392553269449,5,0.4144968880488976,2.205872622946933,5,0.4144968880488976,2.205872622946933,0.9491125249520324,19.65120098918993,26.14261595660768,573.0,0.2,8.0,0.1,21439229.0,0.7079537000448222,0.659568431598706,0.7317901480568645,0.2686153511231958,0.4144968880488976
bank_K6_i000993,bank,,6,8,0.1298646974478072,0.0005721295171186,1.7550605146080414,1.754799201766616,1.7547955140026414,1.754795355160684,0.0002651594473572,0.0002691648952466,0.3010606911612388,0.2018856974122354,0.1339714462426215,2.042417604020375,5,2,0.2018856974122354,1.4912432877624586,2,0.2018856974122354,1.4912432877624586,3,0.0452905779149629,6.647313967300364,0.3015823764599369,0.2021540952088417,0.0456189450611698,0.1345099997249641,2.0497464298745376,5,2,0.2021540952088417,1.491844012105605,2,0.2021540952088417,1.491844012105605,3,0.0456189450611698,6.610902028873072,0.3186138938863279,1.467596698887158,1.5955379009815145,993.0,5.0,2.0,0.1,21863264.0,0.0452905779149629,0.020282214954881,0.0222814075026361,0.0106520875497062,0.0106884262285428
