file,column,dtype,description
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,log_min_symbol_prob,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,log_signal,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,selection_cluster,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,distance_to_cluster_center,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,cluster_size,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,selection_protocol,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_sv1,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_sv2,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_signal,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_effective_rank,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_numerical_rank,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_r90,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_sigma90,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_kappa90,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_r95,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_sigma95,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_kappa95,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_r99,int64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_sigma99,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_kappa99,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,hmm_file,object,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_sv3,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_sv4,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_feature_outcome_table.csv,pred_h4_m3_sv5,float64,See the corresponding protocol/notebook; detailed definition to be finalized.
data/aggregate/confirmatory__confirmatory_holdout_paired_comparisons.csv,architecture,object,Learner architecture.
data/aggregate/confirmatory__confirmatory_holdout_paired_comparisons.csv,outcome,object,See the corresponding protocol/notebook; detailed definition to be finalized.
