K,feature,set,n,min,q10,median,q90,max
5,log_gain,bank,1000,-11.481589965820882,-9.587677156422291,-5.809112965908623,-2.652391640251671,-1.2422490307317502
5,log_gain,selected,16,-9.693737222394484,-8.54553440445815,-5.003824832071009,-2.344943106946096,-1.311749173674475
5,log_rank,bank,1000,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.3862943611198906
5,log_rank,selected,16,0.0,0.6931471805599453,0.8958797346140275,1.0986122886681098,1.0986122886681098
5,neg_log_sigma,bank,1000,0.2388283608922261,1.233786009849973,2.504297124266615,4.0322391544402585,5.423935436881709
5,neg_log_sigma,selected,16,0.6577972939293818,1.5057108160917685,1.99563026560052,3.698424373490506,4.204664243569689
5,log_tau,bank,1000,0.1200095962744699,0.2880748109733128,0.7752088662006713,2.7694396185443537,4.524848694615375
5,log_tau,selected,16,0.3368852542429131,0.3985527260101916,1.1112542363169045,3.0467839868121427,3.829133476836875
5,bayes_ce_h4,bank,1000,0.5554168660118993,1.3265689163472651,1.8696602408417795,2.0394135584011237,2.0719112467649152
5,bayes_ce_h4,selected,16,0.9301750150568197,1.195912373365473,1.758654626884188,1.9897436359480376,2.018120491136388
5,symbol_entropy,bank,1000,0.6593472064752477,1.5353884224741616,1.9128258314828608,2.045879857575524,2.072736587940098
5,symbol_entropy,selected,16,1.1806825487028467,1.481718517758008,1.8711460918330856,1.9933566288350035,2.018886115298863
5,log_min_symbol_prob,bank,1000,-10.797324881603153,-6.874323721214462,-3.360718751702986,-2.545482120884846,-2.2143113073966383
5,log_min_symbol_prob,selected,16,-8.023640811929845,-7.666165346551171,-3.7613795904952094,-2.8581659213050887,-2.701770430706452
5,log_signal,bank,1000,-7.947310521422117,-5.951119960500531,-2.946910201035429,-0.4567576882084762,0.978640579497786
5,log_signal,selected,16,-6.410923827433983,-4.906016194280029,-2.556513178830662,-0.4241536323572356,0.5021271319535457
6,log_gain,bank,1000,-11.504182743573724,-9.484841935011987,-6.044806115418557,-2.6297927906317256,-1.0715036680540242
6,log_gain,selected,16,-9.352349058272203,-8.794085941042304,-5.193764381367029,-2.503593876799015,-2.052960679026634
6,log_rank,bank,1000,0.0,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.6094379124341005
6,log_rank,selected,16,0.0,0.6931471805599453,1.0986122886681098,1.2424533248940002,1.3862943611198906
6,neg_log_sigma,bank,1000,0.3525093236518444,1.329314309590482,2.7725637263477454,4.131581672409146,5.52337232104187
6,neg_log_sigma,selected,16,0.8962111034103662,1.1847610764971928,2.1257920757334303,3.496312939067032,4.036999885190292
6,log_tau,bank,1000,0.1200783989401189,0.2630589831032784,0.7076747876002594,2.655948520274112,4.420570495532964
6,log_tau,selected,16,0.2696457026316621,0.3670742110672639,1.2733336959293782,2.816657411189407,3.3903142294811057
6,bayes_ce_h4,bank,1000,0.5719513780348102,1.4212636346134837,1.9108885689456852,2.046277926420433,2.0755452154308287
6,bayes_ce_h4,selected,16,0.844288412713593,1.349753825854358,1.759928619697781,2.0279600299738645,2.0377403629790787
6,symbol_entropy,bank,1000,1.045773319852185,1.610389203610637,1.9490207524580816,2.051346870756325,2.077332838039352
6,symbol_entropy,selected,16,1.4049892238507884,1.478787925280871,1.8846086547504863,2.033319864048329,2.039199361590363
6,log_min_symbol_prob,bank,1000,-11.403848586359462,-6.186974466704829,-3.149363378030272,-2.4771686754603675,-2.208822019834704
6,log_min_symbol_prob,selected,16,-8.48917316002597,-7.060536448590057,-3.576198843564712,-2.74790033941904,-2.486046321275559
6,log_signal,bank,1000,-8.057597340353595,-5.90367333811215,-3.151856064767726,-0.4207270317596132,1.051518409532436
6,log_signal,selected,16,-6.120319634614745,-4.752529336643333,-2.2884684151068075,-0.3136727460135364,0.7967577218169953
