dataset_replicate,hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,mean_excess_ce_H,K
1,confirm_K6_i001189,Transformer,0.0277656577460125,0.0140500897660137,8,0.0514886404913864,6
2,confirm_K3_i000321,GRU,0.0343841904770085,0.0264446655143275,32,0.0116951217522932,3
2,confirm_K3_i000321,Transformer,0.0411317981126586,0.0288156288870431,32,0.0356931171338471,3
2,confirm_K3_i000341,GRU,0.0188568426394195,0.0140649004270729,8,0.0246297820659409,3
2,confirm_K3_i000341,Transformer,0.0197239856957485,0.0140947192583848,256,0.019685040960901,3
2,confirm_K3_i000975,GRU,0.0393000589616067,0.0198384446066181,32,0.0409846105133868,3
2,confirm_K3_i000975,Transformer,0.0464417850060147,0.037620165371499,128,0.0488118508662161,3
2,confirm_K3_i001202,GRU,0.0218549253157289,0.016205425337077,32,0.0267608652917138,3
2,confirm_K3_i001202,Transformer,0.0209390670362315,0.0153954224316171,8,0.0068633515792679,3
2,confirm_K4_i000373,GRU,0.0201997335954479,0.0122194967377996,8,0.0132540370868921,4
2,confirm_K4_i000373,Transformer,0.0228778147588102,0.0146407229073894,128,0.0141225723770538,4
2,confirm_K4_i000448,GRU,0.045949377629082,0.0304202346836886,8,0.036847595085347,4
2,confirm_K4_i000448,Transformer,0.0367979759258522,0.0328893881326511,32,0.0284498755729639,4
2,confirm_K4_i000654,GRU,0.0544172869780452,0.034201023220427,8,0.0585473707968384,4
2,confirm_K4_i000654,Transformer,0.0623808256259887,0.0420750394367493,8,0.0746404041627437,4
2,confirm_K4_i000909,GRU,0.0368518444022527,0.0276008771454792,8,0.0305918720118245,4
2,confirm_K4_i000909,Transformer,0.0373869337746696,0.0341338819219816,128,0.031888707032009,4
2,confirm_K5_i000202,GRU,0.0350978984218876,0.0330083247524832,32,0.0315153511222077,5
2,confirm_K5_i000202,Transformer,0.0394919356550713,0.0228340797732299,32,0.0173234907891226,5
2,confirm_K5_i000312,GRU,0.0637414809020469,0.0551458569894135,8,0.0560829676220138,5
2,confirm_K5_i000312,Transformer,0.0388962371022407,0.0300610766353246,256,0.0915551979868928,5
2,confirm_K5_i000834,GRU,0.0279238229163206,0.0158355725074542,8,0.0336459152911148,5
2,confirm_K5_i000834,Transformer,0.0361021718369972,0.0207433868613891,128,0.0378634002570352,5
2,confirm_K5_i001133,GRU,0.0237301716262382,0.012030276426842,32,0.0210063334245168,5
2,confirm_K5_i001133,Transformer,0.0207838242316479,0.01350603424822,8,0.0231921586830103,5
2,confirm_K6_i000105,GRU,0.0435793901909782,0.0260156203690295,128,0.0276969848283044,6
2,confirm_K6_i000105,Transformer,0.0383496004671059,0.0313588361380018,256,0.0128565241354616,6
2,confirm_K6_i000708,GRU,0.0557393191466801,0.0465729016400473,8,0.0483342653613927,6
2,confirm_K6_i000708,Transformer,0.0456067424594629,0.036189147875288,8,0.0620059499059262,6
2,confirm_K6_i000997,GRU,0.0253203455793175,0.0190134097340096,8,-0.0019405828955822,6
2,confirm_K6_i000997,Transformer,0.0224575841675893,0.0158170282218194,256,0.019265551413789,6
2,confirm_K6_i001189,GRU,0.0328827422165389,0.0162322598410181,256,0.0350324052912197,6
2,confirm_K6_i001189,Transformer,0.0350845666295963,0.0268972476597593,8,0.0574878405374489,6
