contrast,source,n_train,method,alpha,beta,outcome,n_pairs,mean_effect_high_minus_low,median_effect_high_minus_low,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p_two_sided,fraction_positive
gain_contrast,count_predictor,256,interpolated_backoff,0.1,5.0,excess_ce_H,12,-0.0013735562522945,0.0021602797847519,-0.0073967775998544,0.0045186966325456,0.6758324167583242,0.5833333333333334
gain_contrast,count_predictor,256,interpolated_backoff,0.1,5.0,shape_rmse,12,-0.0011689644234984,-0.0002828519201066,-0.0041261321937836,0.0016285414643718,0.4553544645535446,0.5
gain_contrast,count_predictor,256,interpolated_backoff,0.1,20.0,excess_ce_H,12,-0.0008852669841285,-8.766968127704982e-05,-0.0053604316362357,0.0035689132507011,0.7114288571142886,0.5
gain_contrast,count_predictor,256,interpolated_backoff,0.1,20.0,shape_rmse,12,-0.000743812384175,-0.0005347450731018,-0.0023874352595665,0.0008009056218491,0.4170582941705829,0.4166666666666667
gain_contrast,count_predictor,256,interpolated_backoff,0.5,1.0,excess_ce_H,12,-0.0015990555521592,0.0012953652299192,-0.0069992307131924,0.0035229171063265,0.5844415558444156,0.5833333333333334
gain_contrast,count_predictor,256,interpolated_backoff,0.5,1.0,shape_rmse,12,-0.0013609860184727,-0.0005285995583566,-0.0037285595612191,0.0007469468585192,0.3004699530046995,0.4166666666666667
gain_contrast,count_predictor,256,interpolated_backoff,0.5,5.0,excess_ce_H,12,-0.0015513284370509,-0.0002300475510214,-0.006134830003269,0.0030327001137953,0.5385461453854614,0.4166666666666667
gain_contrast,count_predictor,256,interpolated_backoff,0.5,5.0,shape_rmse,12,-0.0013079284612609,-0.001100118275147,-0.0030048498224389,0.0002969178922328,0.1684831516848315,0.3333333333333333
gain_contrast,count_predictor,256,interpolated_backoff,0.5,20.0,excess_ce_H,12,-0.0010946258384698,-0.0010305596444049,-0.0050622052704146,0.0029915999743074,0.6142385761423858,0.3333333333333333
gain_contrast,count_predictor,256,interpolated_backoff,0.5,20.0,shape_rmse,12,-0.0009182194504401,-0.0012806082754434,-0.0021824903271112,0.0003641482874551,0.2064793520647935,0.25
gain_contrast,count_predictor,256,interpolated_backoff,1.0,1.0,excess_ce_H,12,-0.0013525532266662,9.009807128379856e-05,-0.0055853828591917,0.0028385887334656,0.5386461353864613,0.5833333333333334
gain_contrast,count_predictor,256,interpolated_backoff,1.0,1.0,shape_rmse,12,-0.0011453869250737,-0.0008447122967719,-0.0025161202129185,0.0001374747113399,0.1504849515048495,0.3333333333333333
gain_contrast,count_predictor,256,interpolated_backoff,1.0,5.0,excess_ce_H,12,-0.0014077495466693,-0.0014552455805125,-0.0052497729557991,0.0027400672340538,0.5164483551644835,0.3333333333333333
gain_contrast,count_predictor,256,interpolated_backoff,1.0,5.0,shape_rmse,12,-0.0011781718558597,-0.0020590778538848,-0.0023640588634387,0.0001979453118494,0.1197880211978802,0.1666666666666666
gain_contrast,count_predictor,256,interpolated_backoff,1.0,20.0,excess_ce_H,12,-0.001121593560607,-0.0022860687962238,-0.0046603034406689,0.0029594425702559,0.5938406159384062,0.25
gain_contrast,count_predictor,256,interpolated_backoff,1.0,20.0,shape_rmse,12,-0.0009318259876556,-0.0012674694903396,-0.0021474571757573,0.0005086571546123,0.2305769423057694,0.25
gain_contrast,count_predictor,512,additive,0.1,,excess_ce_H,12,0.0001651736961822,6.328148468505781e-05,-0.0073507967813001,0.0078010551223644,0.9697030296970304,0.5
gain_contrast,count_predictor,512,additive,0.1,,shape_rmse,12,0.000240092383428,0.0023713531421579,-0.0050196978925183,0.005171283778277,0.9284071592840716,0.5833333333333334
gain_contrast,count_predictor,512,additive,0.5,,excess_ce_H,12,-0.0003166928258065,-0.0007107825469225,-0.0053045266992211,0.0045180590567013,0.9094090590940906,0.4166666666666667
gain_contrast,count_predictor,512,additive,0.5,,shape_rmse,12,-0.000164627585223,0.0007055875250958,-0.0025562544022837,0.0022344753795167,0.8996100389961004,0.5
gain_contrast,count_predictor,512,additive,1.0,,excess_ce_H,12,-0.0003133147599249,0.0005327161423331,-0.0044136325274468,0.00364419298384,0.8834116588341165,0.5
gain_contrast,count_predictor,512,additive,1.0,,shape_rmse,12,-0.0001639220317113,7.820338521344859e-05,-0.0017441869154321,0.0014889945035242,0.8547145285471452,0.5
gain_contrast,count_predictor,512,interpolated_backoff,0.1,1.0,excess_ce_H,12,-2.873052483367648e-06,-0.0003745999372266,-0.0064523250273161,0.0064466790329786,0.9993000699930008,0.4166666666666667
gain_contrast,count_predictor,512,interpolated_backoff,0.1,1.0,shape_rmse,12,8.497245645141703e-05,0.0014101308922022,-0.0037718895823536,0.00395230280085,0.9718028197180282,0.5833333333333334
gain_contrast,count_predictor,512,interpolated_backoff,0.1,5.0,excess_ce_H,12,-0.0002612870089971,-0.000663388427374,-0.0053041586870971,0.0048809545565985,0.9213078692130788,0.4166666666666667
