hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio,K,generator_family,selection_cluster
external_sticky_dense_logistic_normal_K5_i0048,Transformer,0.027637373943014,0.021523765121062,8,0.0,,,0.0399022729062738,0.2689817428508921,5,sticky_dense_logistic_normal,0
external_sticky_dense_logistic_normal_K5_i0094,GRU,0.0185597639469062,0.0114223357895901,32,0.0092273073053297,32.0,32.0,0.0212292752319037,-0.8641645601269478,5,sticky_dense_logistic_normal,1
external_sticky_dense_logistic_normal_K5_i0094,Transformer,0.0243925121589534,0.0164980999372588,8,0.0,,,0.0258600445244172,3.4079137343356503,5,sticky_dense_logistic_normal,1
external_sticky_dense_logistic_normal_K5_i0152,GRU,0.0532355064742844,0.0455512358354471,8,0.0,,,0.0193536510376873,1.035135189772691,5,sticky_dense_logistic_normal,3
external_sticky_dense_logistic_normal_K5_i0152,Transformer,0.0437010898633341,0.0371454708232187,8,0.0,,,0.0560612071198301,0.2329938587981017,5,sticky_dense_logistic_normal,3
external_sticky_dense_logistic_normal_K5_i0236,GRU,0.0243771093040715,0.0154894710633179,8,0.0,,,0.0157484701939818,1.9867454312778043,5,sticky_dense_logistic_normal,2
external_sticky_dense_logistic_normal_K5_i0236,Transformer,0.0223159464403844,0.0171513019958204,32,0.0145457620176532,32.0,32.0,0.0310466777948933,0.2117931304239289,5,sticky_dense_logistic_normal,2
external_sticky_dense_logistic_normal_K6_i0086,GRU,0.0328885854848748,0.0250846533828981,128,0.017332609115893,128.0,128.0,0.0250762651491297,0.7146161498707683,6,sticky_dense_logistic_normal,2
external_sticky_dense_logistic_normal_K6_i0086,Transformer,0.0333529785056236,0.0265402974963284,8,0.0,,,0.0413815718685388,0.4251681160271146,6,sticky_dense_logistic_normal,2
external_sticky_dense_logistic_normal_K6_i0090,GRU,0.0318598086274135,0.0199816161188652,8,0.0,,,0.044121453228673,0.6297837584425445,6,sticky_dense_logistic_normal,3
external_sticky_dense_logistic_normal_K6_i0090,Transformer,0.0441633407306719,0.0379794698322676,32,0.0149985280609437,32.0,32.0,0.0644441370133698,0.7093756815329542,6,sticky_dense_logistic_normal,3
external_sticky_dense_logistic_normal_K6_i0146,GRU,0.0259503603376313,0.0172617135104802,8,0.0,,,0.0189437508535041,1.3947841644563066,6,sticky_dense_logistic_normal,1
external_sticky_dense_logistic_normal_K6_i0146,Transformer,0.0454213557290061,0.0378614095905788,8,0.0,,,0.0409376636099472,0.9397875563743088,6,sticky_dense_logistic_normal,1
external_sticky_dense_logistic_normal_K6_i0159,GRU,0.0206036937873199,0.0129178372309654,32,0.0089880013785536,32.0,32.0,0.0188057801432866,1.872132391804524,6,sticky_dense_logistic_normal,0
external_sticky_dense_logistic_normal_K6_i0159,Transformer,0.0201662931822262,0.0151332808795091,32,0.0099388067623837,32.0,32.0,0.0163944494036295,0.951450599252543,6,sticky_dense_logistic_normal,0
