status,hmm_id,architecture,dimension,seed,n_train,best_epoch,best_val_ce,final_batch_size,epochs_completed,parameter_count,device,test_ce_h1,test_ce_h2,test_ce_h3,test_ce_h4,result_file,bayes_ce_h1,bayes_ce_h2,bayes_ce_h3,bayes_ce_h4,shape_rmse,excess_ce_H,recovery_ratio
done,bank_K4_i001162,Transformer,128,5,256,13,2.000856582075357,16,21,201224,cpu,2.0386337488889694,2.025435149669647,2.0463214367628098,2.0082492604851723,project://predictive_profile_experiment_v2/sample_size_runs/bank_K4_i001162/transformer/d128/n256/seed5/DONE.json,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0221420933944637,0.0540002636989895,2.618279791351653
done,bank_K4_i001162,Transformer,128,1,512,19,1.9600672163069248,16,27,201224,cpu,2.0142166763544083,1.955849938094616,2.001402370631695,2.0314959585666656,project://predictive_profile_experiment_v2/sample_size_runs/bank_K4_i001162/transformer/d128/n512/seed1/DONE.json,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0445733846798047,0.0772469617804829,-1.488983287267121
done,bank_K4_i001162,Transformer,128,2,512,8,2.0045617520809174,16,16,201224,cpu,1.973927617073059,2.016568146646023,1.9976471737027168,1.9759856313467024,project://predictive_profile_experiment_v2/sample_size_runs/bank_K4_i001162/transformer/d128/n512/seed2/DONE.json,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0226367704559598,0.0217366345605198,-0.1773423699416513
done,bank_K4_i001162,Transformer,128,3,512,10,1.970538590103388,16,18,201224,cpu,2.030526362359524,1.9957243651151657,2.0583837255835533,1.9940809980034828,project://predictive_profile_experiment_v2/sample_size_runs/bank_K4_i001162/transformer/d128/n512/seed3/DONE.json,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0341960737662744,0.0398320012173001,3.1405551317409945
done,bank_K4_i001162,Transformer,128,4,512,15,1.9721207283437248,16,23,201224,cpu,1.9815417528152464,1.9936194643378256,2.0275846272706985,1.99426481872797,project://predictive_profile_experiment_v2/sample_size_runs/bank_K4_i001162/transformer/d128/n512/seed4/DONE.json,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0204662976069896,0.0400158219417874,-1.0963668672188684
done,bank_K4_i001162,Transformer,128,5,512,19,1.9554728642106056,16,27,201224,cpu,1.94849655777216,1.9983605220913887,1.9787540882825847,1.968541942536831,project://predictive_profile_experiment_v2/sample_size_runs/bank_K4_i001162/transformer/d128/n512/seed5/DONE.json,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0213206645285132,0.0142929457506482,-1.727342752713528
done,bank_K4_i001162,Transformer,128,1,1024,27,1.9754606261849403,16,35,201224,cpu,1.9906218871474264,1.926820531487465,1.970285177230835,1.9831098765134807,project://predictive_profile_experiment_v2/sample_size_runs/bank_K4_i001162/transformer/d128/n1024/seed1/DONE.json,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0304197308517294,0.0288608797272984,0.6473219286726628
done,bank_K4_i001162,Transformer,128,2,1024,12,1.9649267829954624,16,20,201224,cpu,2.004972487688065,2.0018222257494926,1.996117688715458,1.9862319827079773,project://predictive_profile_experiment_v2/sample_size_runs/bank_K4_i001162/transformer/d128/n1024/seed2/DONE.json,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0086317942966752,0.0319829859217946,1.6148991820101048
done,bank_K4_i001162,Transformer,128,3,1024,22,1.970286976546049,16,30,201224,cpu,2.0008516386151314,1.955131694674492,1.9980366826057436,1.9762858003377917,project://predictive_profile_experiment_v2/sample_size_runs/bank_K4_i001162/transformer/d128/n1024/seed3/DONE.json,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0172823643187042,0.0220368035516087,2.116877436420287
done,bank_K4_i001162,Transformer,128,4,1024,26,1.9633218124508856,16,34,201224,cpu,1.988788515329361,2.0053141489624977,2.020988672971725,1.977948620915413,project://predictive_profile_experiment_v2/sample_size_runs/bank_K4_i001162/transformer/d128/n1024/seed4/DONE.json,1.965853749075896,1.9571595901911056,1.9548428240947384,1.9542489967861827,0.0244964835806061,0.0236996241292302,0.9340909778450964
