generator_family,K_a,K_b,architecture,outcome,hmm_a,hmm_b,matched_absolute_difference,profile_rms_distance
ring_sparse_specialized,3,4,Transformer,best_shape_rmse,external_ring_sparse_specialized_K3_i0103,external_ring_sparse_specialized_K4_i0048,0.0026101558486234,0.752229211131152
ring_sparse_specialized,4,5,GRU,A_width_shape,external_ring_sparse_specialized_K4_i0248,external_ring_sparse_specialized_K5_i0063,0.0097400913402264,0.1443999657594271
ring_sparse_specialized,4,5,GRU,A_width_shape,external_ring_sparse_specialized_K4_i0048,external_ring_sparse_specialized_K5_i0011,0.0004364913943351,0.3670616391163801
ring_sparse_specialized,4,5,GRU,A_width_shape,external_ring_sparse_specialized_K4_i0053,external_ring_sparse_specialized_K5_i0153,0.0020522951080088,0.4764272429576623
ring_sparse_specialized,4,5,GRU,A_width_shape,external_ring_sparse_specialized_K4_i0003,external_ring_sparse_specialized_K5_i0201,0.0122549971238671,0.3171733961175539
ring_sparse_specialized,4,5,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K4_i0248,external_ring_sparse_specialized_K5_i0063,0.0081758228293041,0.1443999657594271
ring_sparse_specialized,4,5,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K4_i0048,external_ring_sparse_specialized_K5_i0011,0.0190758906178997,0.3670616391163801
ring_sparse_specialized,4,5,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K4_i0053,external_ring_sparse_specialized_K5_i0153,0.016211869625411,0.4764272429576623
ring_sparse_specialized,4,5,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K4_i0003,external_ring_sparse_specialized_K5_i0201,0.015215885859001,0.3171733961175539
ring_sparse_specialized,4,5,GRU,best_shape_rmse,external_ring_sparse_specialized_K4_i0248,external_ring_sparse_specialized_K5_i0063,0.0100595493407716,0.1443999657594271
ring_sparse_specialized,4,5,GRU,best_shape_rmse,external_ring_sparse_specialized_K4_i0048,external_ring_sparse_specialized_K5_i0011,0.0016009547720985,0.3670616391163801
ring_sparse_specialized,4,5,GRU,best_shape_rmse,external_ring_sparse_specialized_K4_i0053,external_ring_sparse_specialized_K5_i0153,0.0012012676711792,0.4764272429576623
ring_sparse_specialized,4,5,GRU,best_shape_rmse,external_ring_sparse_specialized_K4_i0003,external_ring_sparse_specialized_K5_i0201,0.0008277631217479,0.3171733961175539
ring_sparse_specialized,4,5,Transformer,A_width_shape,external_ring_sparse_specialized_K4_i0248,external_ring_sparse_specialized_K5_i0063,0.0049162885942124,0.1443999657594271
ring_sparse_specialized,4,5,Transformer,A_width_shape,external_ring_sparse_specialized_K4_i0048,external_ring_sparse_specialized_K5_i0011,0.0005071469061592,0.3670616391163801
ring_sparse_specialized,4,5,Transformer,A_width_shape,external_ring_sparse_specialized_K4_i0053,external_ring_sparse_specialized_K5_i0153,0.0086067659338258,0.4764272429576623
ring_sparse_specialized,4,5,Transformer,A_width_shape,external_ring_sparse_specialized_K4_i0003,external_ring_sparse_specialized_K5_i0201,0.0013388108918668,0.3171733961175539
ring_sparse_specialized,4,5,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K4_i0248,external_ring_sparse_specialized_K5_i0063,0.0246592240880907,0.1443999657594271
ring_sparse_specialized,4,5,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K4_i0048,external_ring_sparse_specialized_K5_i0011,0.013262357384628,0.3670616391163801
ring_sparse_specialized,4,5,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K4_i0053,external_ring_sparse_specialized_K5_i0153,0.0173180465646866,0.4764272429576623
ring_sparse_specialized,4,5,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K4_i0003,external_ring_sparse_specialized_K5_i0201,0.0045989202670935,0.3171733961175539
ring_sparse_specialized,4,5,Transformer,best_shape_rmse,external_ring_sparse_specialized_K4_i0248,external_ring_sparse_specialized_K5_i0063,0.0029749303661336,0.1443999657594271
ring_sparse_specialized,4,5,Transformer,best_shape_rmse,external_ring_sparse_specialized_K4_i0048,external_ring_sparse_specialized_K5_i0011,0.0081651802220245,0.3670616391163801
ring_sparse_specialized,4,5,Transformer,best_shape_rmse,external_ring_sparse_specialized_K4_i0053,external_ring_sparse_specialized_K5_i0153,0.00901723568146,0.4764272429576623
ring_sparse_specialized,4,5,Transformer,best_shape_rmse,external_ring_sparse_specialized_K4_i0003,external_ring_sparse_specialized_K5_i0201,0.0018640743490907,0.3171733961175539
ring_sparse_specialized,5,6,GRU,A_width_shape,external_ring_sparse_specialized_K5_i0201,external_ring_sparse_specialized_K6_i0135,0.0053425571387984,0.1525573203792417
ring_sparse_specialized,5,6,GRU,A_width_shape,external_ring_sparse_specialized_K5_i0063,external_ring_sparse_specialized_K6_i0232,0.008316652201047,0.2985766216102383
ring_sparse_specialized,5,6,GRU,A_width_shape,external_ring_sparse_specialized_K5_i0011,external_ring_sparse_specialized_K6_i0034,0.0174261563185781,0.1000660151057779
ring_sparse_specialized,5,6,GRU,A_width_shape,external_ring_sparse_specialized_K5_i0153,external_ring_sparse_specialized_K6_i0099,0.0038888174291179,0.2896095882964292
ring_sparse_specialized,5,6,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K5_i0201,external_ring_sparse_specialized_K6_i0135,0.0106548744565277,0.1525573203792417
ring_sparse_specialized,5,6,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K5_i0063,external_ring_sparse_specialized_K6_i0232,0.0130555254075531,0.2985766216102383
ring_sparse_specialized,5,6,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K5_i0011,external_ring_sparse_specialized_K6_i0034,0.0081986925194811,0.1000660151057779
ring_sparse_specialized,5,6,GRU,mean_excess_ce_H,external_ring_sparse_specialized_K5_i0153,external_ring_sparse_specialized_K6_i0099,0.0097081269363545,0.2896095882964292
ring_sparse_specialized,5,6,GRU,best_shape_rmse,external_ring_sparse_specialized_K5_i0201,external_ring_sparse_specialized_K6_i0135,0.0036295294017285,0.1525573203792417
ring_sparse_specialized,5,6,GRU,best_shape_rmse,external_ring_sparse_specialized_K5_i0063,external_ring_sparse_specialized_K6_i0232,0.0156400174302122,0.2985766216102383
ring_sparse_specialized,5,6,GRU,best_shape_rmse,external_ring_sparse_specialized_K5_i0011,external_ring_sparse_specialized_K6_i0034,0.0004333140613243,0.1000660151057779
ring_sparse_specialized,5,6,GRU,best_shape_rmse,external_ring_sparse_specialized_K5_i0153,external_ring_sparse_specialized_K6_i0099,0.0068417641123684,0.2896095882964292
ring_sparse_specialized,5,6,Transformer,A_width_shape,external_ring_sparse_specialized_K5_i0201,external_ring_sparse_specialized_K6_i0135,0.0027936881724559,0.1525573203792417
ring_sparse_specialized,5,6,Transformer,A_width_shape,external_ring_sparse_specialized_K5_i0063,external_ring_sparse_specialized_K6_i0232,0.0006616054982519,0.2985766216102383
ring_sparse_specialized,5,6,Transformer,A_width_shape,external_ring_sparse_specialized_K5_i0011,external_ring_sparse_specialized_K6_i0034,0.0007482630795239,0.1000660151057779
ring_sparse_specialized,5,6,Transformer,A_width_shape,external_ring_sparse_specialized_K5_i0153,external_ring_sparse_specialized_K6_i0099,0.0093423877661377,0.2896095882964292
ring_sparse_specialized,5,6,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K5_i0201,external_ring_sparse_specialized_K6_i0135,0.0222503150708779,0.1525573203792417
ring_sparse_specialized,5,6,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K5_i0063,external_ring_sparse_specialized_K6_i0232,0.0078054249472357,0.2985766216102383
ring_sparse_specialized,5,6,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K5_i0011,external_ring_sparse_specialized_K6_i0034,0.0001483170049208,0.1000660151057779
ring_sparse_specialized,5,6,Transformer,mean_excess_ce_H,external_ring_sparse_specialized_K5_i0153,external_ring_sparse_specialized_K6_i0099,0.0309218645632249,0.2896095882964292
ring_sparse_specialized,5,6,Transformer,best_shape_rmse,external_ring_sparse_specialized_K5_i0201,external_ring_sparse_specialized_K6_i0135,0.0117328507709103,0.1525573203792417
ring_sparse_specialized,5,6,Transformer,best_shape_rmse,external_ring_sparse_specialized_K5_i0063,external_ring_sparse_specialized_K6_i0232,0.0030334075597466,0.2985766216102383
ring_sparse_specialized,5,6,Transformer,best_shape_rmse,external_ring_sparse_specialized_K5_i0011,external_ring_sparse_specialized_K6_i0034,0.0023608121069406,0.1000660151057779
ring_sparse_specialized,5,6,Transformer,best_shape_rmse,external_ring_sparse_specialized_K5_i0153,external_ring_sparse_specialized_K6_i0099,0.009558290421693,0.2896095882964292
