hmm_id,architecture,A_width_shape,best_shape_rmse,best_dimension,width_gain,d90,d95,mean_excess_ce_H,mean_recovery_ratio,K
confirm_K3_i000718,Transformer,0.0429676492586598,0.0368799642105892,128,0.0172748088114235,128.0,128.0,0.0420906476712548,-0.0917954357649215,3
confirm_K3_i000884,GRU,0.0261196088643236,0.0218709276651391,32,0.0080981223353923,32.0,32.0,0.0197320530220165,99.79980648880706,3
confirm_K3_i000884,Transformer,0.02338364846951,0.0177086174228297,8,0.0,,,0.0160258701100244,-50.072692181268366,3
confirm_K3_i000936,GRU,0.0468712440166131,0.024716603614356,256,0.0226036846866679,256.0,256.0,0.0079608100979165,252.785829592234,3
confirm_K3_i000936,Transformer,0.0381547588399143,0.0326595188212951,128,0.0178792365163297,32.0,128.0,0.0022441524593667,37.10322476660869,3
confirm_K3_i000975,GRU,0.0335830275672741,0.0241968332848669,32,0.0151058142799716,32.0,32.0,0.0541003790205098,0.9350902486543125,3
confirm_K3_i000975,Transformer,0.0442571758768119,0.0377719514594126,8,0.0,,,0.0742383972262717,0.720494661018027,3
confirm_K3_i001105,GRU,0.030460295518531,0.0277358053541406,256,0.001165108317807,256.0,256.0,0.0126536993928079,4.770282519152325,3
confirm_K3_i001105,Transformer,0.0447900154790797,0.0299569382971033,8,0.0,,,-0.0075614598892803,7.336290379644954,3
confirm_K3_i001131,GRU,0.0628715189245999,0.0505937431509155,8,0.0,,,0.0507625368805082,-30.69009141622719,3
confirm_K3_i001131,Transformer,0.0552043384778937,0.0535155564437884,32,0.0001660414126926,32.0,32.0,0.0235054540829213,-13.623460670633705,3
confirm_K3_i001202,GRU,0.0193657831560663,0.0157467678644546,256,0.0095077756382938,256.0,256.0,0.0101039064832122,6.472128071243423,3
confirm_K3_i001202,Transformer,0.0223240340466432,0.0121033059872587,256,0.0133785332264191,256.0,256.0,0.0211790898598821,0.0394311029924072,3
confirm_K3_i001308,GRU,0.0422606600330828,0.0325234985523368,128,0.0050171687013208,128.0,128.0,0.0341209077576165,1.9116763833891448,3
confirm_K3_i001308,Transformer,0.0503466276026216,0.0370653986484243,128,0.0157780166408553,128.0,128.0,0.044518421713448,-6.499759772849322,3
confirm_K4_i000041,GRU,0.0236318972031764,0.02024821131206,256,0.0028721454688244,256.0,256.0,0.0261935254852913,-1.153211804604484,4
confirm_K4_i000041,Transformer,0.0262847982598055,0.0162356800467101,8,0.0,,,0.0205216808538578,-0.4055362377182551,4
confirm_K4_i000216,GRU,0.0420168152208496,0.035842375904853,128,0.0024751896216283,128.0,128.0,0.0138872348287758,1.0686819426404652,4
confirm_K4_i000216,Transformer,0.0477301411233096,0.036684833904575,32,0.0139791644109495,32.0,32.0,0.0295638170958181,0.4989698752286194,4
confirm_K4_i000247,GRU,0.0344706553193303,0.0268697344965088,256,0.0236734321250226,256.0,256.0,0.0187741769648759,1.1117423191442577,4
confirm_K4_i000247,Transformer,0.0331747750678261,0.0165446672010912,32,0.0180653611729503,32.0,32.0,0.0452587159521548,0.4395313876543889,4
confirm_K4_i000363,GRU,0.0436543506431113,0.0366717237854421,128,0.0096398944805995,128.0,128.0,0.0515756369190608,0.1150831546932759,4
confirm_K4_i000363,Transformer,0.0438031954056792,0.0224686328178488,8,0.0,,,0.048084378670374,-1.9374064438087817,4
confirm_K4_i000373,GRU,0.0264367305373406,0.0199020456136864,8,0.0,,,0.0145196660953044,33.4259590876074,4
confirm_K4_i000373,Transformer,0.0217210425366079,0.0179831252925285,8,0.0,,,0.0263066187100887,-11.182365789900626,4
confirm_K4_i000423,GRU,0.0415493646375662,0.0294074403402375,8,0.0,,,0.0378017721964933,-1.3904767149518549,4
confirm_K4_i000423,Transformer,0.0411977816327116,0.0331096305464136,32,0.0049161631746293,32.0,32.0,0.0337626409052827,-25.21056090923264,4
confirm_K4_i000448,GRU,0.0431876727684712,0.0410417647186646,256,0.0069691596987932,32.0,32.0,0.0287967159943226,0.4146350080455862,4
confirm_K4_i000448,Transformer,0.0338688056671667,0.026541628480236,128,0.0144156611667689,128.0,128.0,0.0418787981913927,0.5529057474179632,4
confirm_K4_i000599,GRU,0.0228672337957654,0.0159817425446586,8,0.0,,,0.0173469166943982,1.1453536723016196,4
confirm_K4_i000599,Transformer,0.0227185747348567,0.0173581420744162,8,0.0,,,0.0333623140791609,0.4234732637318378,4
confirm_K4_i000654,GRU,0.0451838726635394,0.0374070770236131,32,0.0029466543140709,32.0,32.0,0.038626970080474,1.275771803885827,4
confirm_K4_i000654,Transformer,0.0550602598366054,0.0451590850243146,128,0.0319560889194276,128.0,128.0,0.0466452841738254,0.7501488032909909,4
confirm_K4_i000678,GRU,0.0500700105312289,0.0287909307153397,8,0.0,,,0.0032058491155844,2.51890592458912,4
confirm_K4_i000678,Transformer,0.056503694843652,0.0297754064758623,8,0.0,,,0.0480366154358129,-0.9175782079064384,4
confirm_K4_i000767,GRU,0.0191585818314849,0.0102163646457741,32,0.0108794474871359,32.0,32.0,0.0223379332191485,15.058388146108555,4
confirm_K4_i000767,Transformer,0.0254351335658568,0.0171511510124844,8,0.0,,,0.0359642758584755,-106.18275670184252,4
confirm_K4_i000909,GRU,0.0441646410428403,0.0353074949795856,8,0.0,,,0.0113016836843931,119.39447243834417,4
confirm_K4_i000909,Transformer,0.0432516254351612,0.0336563531495495,32,0.0227186630599379,32.0,32.0,0.0132461675010167,-14.51860270365836,4
confirm_K4_i000949,GRU,0.02944357783964,0.0230247154681758,256,0.0083714260716669,256.0,256.0,0.037953174840189,0.8836666190147714,4
confirm_K4_i000949,Transformer,0.0415877769247626,0.0377352008636264,128,0.0053533149087508,128.0,128.0,0.062579436581112,0.7094589772887618,4
