architecture,outcome,K_a,K_b,hmm_a,hmm_b,profile_rms_distance,outcome_absolute_difference
Transformer,A_width_shape,3,4,confirm_K3_i000517,confirm_K4_i000247,0.1543600619666413,0.0039166625602107
Transformer,A_width_shape,3,4,confirm_K3_i001308,confirm_K4_i000363,0.2022437358587101,0.0065434321969424
Transformer,A_width_shape,3,4,confirm_K3_i001202,confirm_K4_i000373,0.2436449168896137,0.0006029915100352
Transformer,A_width_shape,3,4,confirm_K3_i001105,confirm_K4_i001198,0.3110814728360803,0.0101416025956254
Transformer,A_width_shape,3,4,confirm_K3_i000682,confirm_K4_i000949,0.3143568291412792,0.0111500431488254
Transformer,A_width_shape,3,4,confirm_K3_i000718,confirm_K4_i000448,0.3326393970723734,0.009098843591493
Transformer,A_width_shape,3,4,confirm_K3_i000936,confirm_K4_i000909,0.3989306937528312,0.0050968665952469
Transformer,A_width_shape,3,4,confirm_K3_i000975,confirm_K4_i000654,0.4124065104113644,0.0108030839597934
Transformer,A_width_shape,4,5,confirm_K4_i001076,confirm_K5_i000848,0.1520715273957126,0.0036204241864651
Transformer,A_width_shape,4,5,confirm_K4_i000599,confirm_K5_i000626,0.1832401306846094,0.0032968496627596
Transformer,A_width_shape,4,5,confirm_K4_i001008,confirm_K5_i000834,0.230482007217945,0.0015363778334193
Transformer,A_width_shape,4,5,confirm_K4_i000448,confirm_K5_i000922,0.3349066114429735,0.0038767085081483
Transformer,A_width_shape,4,5,confirm_K4_i000654,confirm_K5_i000543,0.3409532192760218,0.0046714362124356
Transformer,A_width_shape,4,5,confirm_K4_i001198,confirm_K5_i000511,0.3676240222707241,0.0011787272887032
Transformer,A_width_shape,4,5,confirm_K4_i000373,confirm_K5_i000940,0.3906705324908897,0.0007968524930038
Transformer,A_width_shape,4,5,confirm_K4_i000949,confirm_K5_i000841,0.4297332122411377,0.0076677303566163
Transformer,A_width_shape,4,5,confirm_K4_i000423,confirm_K5_i000723,0.4590598964072471,0.0061567133587381
Transformer,A_width_shape,4,5,confirm_K4_i000363,confirm_K5_i000744,0.4644313736316386,0.0059941489073739
Transformer,A_width_shape,4,5,confirm_K4_i000041,confirm_K5_i000202,0.538608648715332,0.0024020038336403
Transformer,A_width_shape,4,5,confirm_K4_i000767,confirm_K5_i001133,0.5489421366450863,0.0021460583366106
Transformer,A_width_shape,5,6,confirm_K5_i000511,confirm_K6_i000997,0.0858627866664294,0.008142099817653
Transformer,A_width_shape,5,6,confirm_K5_i000848,confirm_K6_i000482,0.1351366832106638,0.0053847339687241
Transformer,A_width_shape,5,6,confirm_K5_i000940,confirm_K6_i000578,0.1499973480808675,0.0047187066949609
Transformer,A_width_shape,5,6,confirm_K5_i000834,confirm_K6_i001146,0.154491232531643,0.0004705779068764
Transformer,A_width_shape,5,6,confirm_K5_i000922,confirm_K6_i001189,0.1569517562027908,0.0095629578771355
Transformer,A_width_shape,5,6,confirm_K5_i000807,confirm_K6_i000105,0.1820038090367244,0.0028198551815951
Transformer,A_width_shape,5,6,confirm_K5_i000841,confirm_K6_i000814,0.1838606424834479,0.0039947631020219
Transformer,A_width_shape,5,6,confirm_K5_i000202,confirm_K6_i000446,0.2836540481455343,0.0076122867423916
Transformer,A_width_shape,5,6,confirm_K5_i000634,confirm_K6_i000109,0.2979649513393684,0.0054291380063443
Transformer,A_width_shape,5,6,confirm_K5_i000626,confirm_K6_i000737,0.3634716774007963,0.0028667305115698
Transformer,A_width_shape,5,6,confirm_K5_i000723,confirm_K6_i000453,0.3769000147262234,0.0073557608463631
Transformer,A_width_shape,5,6,confirm_K5_i000312,confirm_K6_i000420,0.4299706504059728,0.0162892843090486
Transformer,mean_excess_ce_H,3,4,confirm_K3_i000884,confirm_K4_i000767,0.0893026805941037,0.0199384057484511
Transformer,mean_excess_ce_H,3,4,confirm_K3_i000341,confirm_K4_i000599,0.1176301399659437,0.0063355835018181
Transformer,mean_excess_ce_H,3,4,confirm_K3_i000617,confirm_K4_i001076,0.1321656557358187,0.0017895851444423
Transformer,mean_excess_ce_H,3,4,confirm_K3_i000056,confirm_K4_i000041,0.1515261552235343,0.0040871613565709
Transformer,mean_excess_ce_H,3,4,confirm_K3_i000517,confirm_K4_i000247,0.1543600619666413,0.0004564367610991
Transformer,mean_excess_ce_H,3,4,confirm_K3_i001308,confirm_K4_i000363,0.2022437358587101,0.003565956956926
Transformer,mean_excess_ce_H,3,4,confirm_K3_i001202,confirm_K4_i000373,0.2436449168896137,0.0051275288502065
Transformer,mean_excess_ce_H,3,4,confirm_K3_i001105,confirm_K4_i001198,0.3110814728360803,0.0386169601830445
Transformer,mean_excess_ce_H,3,4,confirm_K3_i000682,confirm_K4_i000949,0.3143568291412792,0.0247696046567897
Transformer,mean_excess_ce_H,3,4,confirm_K3_i000718,confirm_K4_i000448,0.3326393970723734,0.000211849479862
Transformer,mean_excess_ce_H,3,4,confirm_K3_i000936,confirm_K4_i000909,0.3989306937528312,0.01100201504165
Transformer,mean_excess_ce_H,3,4,confirm_K3_i000975,confirm_K4_i000654,0.4124065104113644,0.0275931130524463
Transformer,mean_excess_ce_H,4,5,confirm_K4_i001076,confirm_K5_i000848,0.1520715273957126,7.683565390284239e-05
Transformer,mean_excess_ce_H,4,5,confirm_K4_i000599,confirm_K5_i000626,0.1832401306846094,0.0044888844258672
Transformer,mean_excess_ce_H,4,5,confirm_K4_i001008,confirm_K5_i000834,0.230482007217945,0.0129760441837676
Transformer,mean_excess_ce_H,4,5,confirm_K4_i000448,confirm_K5_i000922,0.3349066114429735,0.010857526085909
Transformer,mean_excess_ce_H,4,5,confirm_K4_i000654,confirm_K5_i000543,0.3409532192760218,0.0390260597540638
Transformer,mean_excess_ce_H,4,5,confirm_K4_i001198,confirm_K5_i000511,0.3676240222707241,0.0024747265047073
Transformer,mean_excess_ce_H,4,5,confirm_K4_i000373,confirm_K5_i000940,0.3906705324908897,0.0070764828172001
Transformer,mean_excess_ce_H,4,5,confirm_K4_i000949,confirm_K5_i000841,0.4297332122411377,0.0369856764437665
Transformer,mean_excess_ce_H,4,5,confirm_K4_i000423,confirm_K5_i000723,0.4590598964072471,0.0180823878547802
Transformer,mean_excess_ce_H,4,5,confirm_K4_i000363,confirm_K5_i000744,0.4644313736316386,0.0075490996191617
Transformer,mean_excess_ce_H,4,5,confirm_K4_i000041,confirm_K5_i000202,0.538608648715332,0.0005890145584873
Transformer,mean_excess_ce_H,4,5,confirm_K4_i000767,confirm_K5_i001133,0.5489421366450863,0.0078934716610167
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000511,confirm_K6_i000997,0.0858627866664294,0.0067879274464389
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000848,confirm_K6_i000482,0.1351366832106638,0.0044314259467802
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000940,confirm_K6_i000578,0.1499973480808675,0.0016921462711288
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000834,confirm_K6_i001146,0.154491232531643,0.0087725059888815
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000922,confirm_K6_i001189,0.1569517562027908,0.0191587849233948
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000807,confirm_K6_i000105,0.1820038090367244,0.0271838875236893
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000841,confirm_K6_i000814,0.1838606424834479,0.0168557788387655
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000202,confirm_K6_i000446,0.2836540481455343,0.0073077859382101
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000634,confirm_K6_i000109,0.2979649513393684,0.0051224391954868
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000626,confirm_K6_i000737,0.3634716774007963,0.0003767954433821
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000723,confirm_K6_i000453,0.3769000147262234,0.0057260640617797
Transformer,mean_excess_ce_H,5,6,confirm_K5_i000312,confirm_K6_i000420,0.4299706504059728,0.0261189061764792
Transformer,best_shape_rmse,3,4,confirm_K3_i000884,confirm_K4_i000767,0.0893026805941037,0.0005574664103453
Transformer,best_shape_rmse,3,4,confirm_K3_i000341,confirm_K4_i000599,0.1176301399659437,0.002240264133821
Transformer,best_shape_rmse,3,4,confirm_K3_i000617,confirm_K4_i001076,0.1321656557358187,0.0021842821632183
Transformer,best_shape_rmse,3,4,confirm_K3_i000056,confirm_K4_i000041,0.1515261552235343,0.0009268441002353
Transformer,best_shape_rmse,3,4,confirm_K3_i000517,confirm_K4_i000247,0.1543600619666413,0.0153831057263346
Transformer,best_shape_rmse,3,4,confirm_K3_i001308,confirm_K4_i000363,0.2022437358587101,0.0145967658305754
Transformer,best_shape_rmse,3,4,confirm_K3_i001202,confirm_K4_i000373,0.2436449168896137,0.0058798193052697
Transformer,best_shape_rmse,3,4,confirm_K3_i001105,confirm_K4_i001198,0.3110814728360803,0.0048327901611619
Transformer,best_shape_rmse,3,4,confirm_K3_i000682,confirm_K4_i000949,0.3143568291412792,0.0033579259945138
Transformer,best_shape_rmse,3,4,confirm_K3_i000718,confirm_K4_i000448,0.3326393970723734,0.0103383357303532
Transformer,best_shape_rmse,3,4,confirm_K3_i000936,confirm_K4_i000909,0.3989306937528312,0.0009968343282544
Transformer,best_shape_rmse,3,4,confirm_K3_i000975,confirm_K4_i000654,0.4124065104113644,0.0073871335649019
Transformer,best_shape_rmse,4,5,confirm_K4_i001076,confirm_K5_i000848,0.1520715273957126,0.0050997466619183
Transformer,best_shape_rmse,4,5,confirm_K4_i000599,confirm_K5_i000626,0.1832401306846094,0.0041258349839511
Transformer,best_shape_rmse,4,5,confirm_K4_i001008,confirm_K5_i000834,0.230482007217945,0.0045625213840033
Transformer,best_shape_rmse,4,5,confirm_K4_i000448,confirm_K5_i000922,0.3349066114429735,0.0008637922507588
Transformer,best_shape_rmse,4,5,confirm_K4_i000654,confirm_K5_i000543,0.3409532192760218,0.0003596938737177
Transformer,best_shape_rmse,4,5,confirm_K4_i001198,confirm_K5_i000511,0.3676240222707241,0.0052282635030235
Transformer,best_shape_rmse,4,5,confirm_K4_i000373,confirm_K5_i000940,0.3906705324908897,0.0015030663145447
Transformer,best_shape_rmse,4,5,confirm_K4_i000949,confirm_K5_i000841,0.4297332122411377,0.0051422207126541
Transformer,best_shape_rmse,4,5,confirm_K4_i000423,confirm_K5_i000723,0.4590598964072471,0.0098348394618751
Transformer,best_shape_rmse,4,5,confirm_K4_i000363,confirm_K5_i000744,0.4644313736316386,0.0170117511994705
Transformer,best_shape_rmse,4,5,confirm_K4_i000041,confirm_K5_i000202,0.538608648715332,0.0013397025111074
Transformer,best_shape_rmse,4,5,confirm_K4_i000767,confirm_K5_i001133,0.5489421366450863,0.0025009646409915
Transformer,best_shape_rmse,5,6,confirm_K5_i000511,confirm_K6_i000997,0.0858627866664294,0.0092213695383021
Transformer,best_shape_rmse,5,6,confirm_K5_i000848,confirm_K6_i000482,0.1351366832106638,0.005131867499754
Transformer,best_shape_rmse,5,6,confirm_K5_i000940,confirm_K6_i000578,0.1499973480808675,0.0036021906736243
Transformer,best_shape_rmse,5,6,confirm_K5_i000834,confirm_K6_i001146,0.154491232531643,0.0002789162638903
Transformer,best_shape_rmse,5,6,confirm_K5_i000922,confirm_K6_i001189,0.1569517562027908,0.0089648932444806
Transformer,best_shape_rmse,5,6,confirm_K5_i000807,confirm_K6_i000105,0.1820038090367244,0.005840319264261
Transformer,best_shape_rmse,5,6,confirm_K5_i000841,confirm_K6_i000814,0.1838606424834479,0.0051586180039861
Transformer,best_shape_rmse,5,6,confirm_K5_i000202,confirm_K6_i000446,0.2836540481455343,0.0006426833349801
Transformer,best_shape_rmse,5,6,confirm_K5_i000634,confirm_K6_i000109,0.2979649513393684,0.0031366405146047
Transformer,best_shape_rmse,5,6,confirm_K5_i000626,confirm_K6_i000737,0.3634716774007963,0.005656864467142
Transformer,best_shape_rmse,5,6,confirm_K5_i000723,confirm_K6_i000453,0.3769000147262234,0.0007643426375363
Transformer,best_shape_rmse,5,6,confirm_K5_i000312,confirm_K6_i000420,0.4299706504059728,0.0139426478478644
