hmm_id,K,alpha,shape_rmse,excess_ce_H,recovery_ratio,test_ce_h1,test_ce_h2,test_ce_h3,test_ce_h4
confirm_K4_i000041,4,0.5,0.1214561464166548,0.1491203183615712,-53.25227542596131,1.9742805622036512,1.9477616052193063,1.9769216741614877,2.1050122819854384
confirm_K5_i000841,5,0.5,0.0368806029756836,0.0687671992666116,0.5132218279704753,1.789352933579206,1.724482608879394,1.7341305094742878,1.747233147458922
confirm_K5_i001133,5,0.5,0.0928338169558167,0.111839653574294,-276.8871451911736,1.9827527405240637,2.0036493386290783,2.0180772535436886,2.107511978153385
confirm_K5_i000723,5,0.5,0.021401676656818,0.0455496056855833,-7.419222786822118,1.484242601584768,1.4517697065242718,1.4619904599248186,1.486636644210751
confirm_K5_i000543,5,0.5,0.0406654455497642,0.0084343556411828,0.9446891593018524,1.1167244494151416,1.076217307027148,0.9256038802165528,0.9386093706980024
confirm_K5_i000202,5,0.5,0.0832661773127849,0.1049866412129234,-20.67574023701808,1.9224958638770853,1.893511609467216,1.887727471017659,1.9950425019801017
confirm_K5_i000834,5,0.5,0.0782305944256085,0.0953607929846496,-27.01969237438375,1.5927670692456353,1.5800500288671897,1.6223449745048222,1.6855283168541202
confirm_K5_i000511,5,0.5,0.0402574643058592,0.0769129761271534,-40.61511952220668,1.933157677864448,1.936102558657797,1.9739929324480088,1.989640526749608
confirm_K5_i000246,5,0.5,0.046673379967657,0.0409028578765537,-1.0106029636735652,1.0486724575784616,1.0242508080744184,0.986095664014942,1.0620906260636342
confirm_K5_i000807,5,0.5,0.0411718563798206,0.0089358335070053,-24.4020437530781,1.607706971942595,1.6189584192553186,1.654188694474617,1.668842768420489
confirm_K5_i000634,5,0.5,0.0725891662161175,0.1080579432709865,-9.27347335391841,1.93036318836978,1.917082287436706,1.9083842122794767,1.9985367740563005
confirm_K5_i000626,5,0.5,0.112092671282514,0.1465519000360964,-13.587982721687482,1.979473432241741,2.0012408432239246,1.9888888037872428,2.112791161548392
confirm_K5_i000744,5,0.5,0.1104351338912586,0.1043347117963719,-6.796628131420616,1.4105517575536723,1.4508703952532769,1.4293298699029044,1.5465867011677037
confirm_K5_i000940,5,0.5,0.0830278756975255,0.0866793134009031,-808.3251119175251,1.9859530232798028,1.96114839826955,1.9785590378962872,2.070494260717887
confirm_K5_i000922,5,0.5,0.093324978563808,0.0989829175335368,-3.529671918989268,1.8222678645838133,1.8752257429813337,1.8553172485884752,1.9378262231096028
confirm_K5_i000312,5,0.5,0.0544058037640076,0.0954888247442002,-0.8874397526864443,1.4198746590335176,1.48285071406229,1.4238957758315849,1.466125803288066
confirm_K5_i000848,5,0.5,0.076742498080898,0.1131529751823596,-1864.1742500460243,2.028813039181987,2.032652273348134,2.073646871019058,2.131273466318748
confirm_K6_i001189,6,0.5,0.0229218440739292,0.0698248174125231,0.9704806943596496,1.931592161988825,1.871653137729789,1.904858216914708,1.9090524266652336
confirm_K6_i000578,6,0.5,0.1006728377136645,0.1414704490063458,-1314.3500488007728,2.054318492980801,2.0449425942217023,2.0782436208223447,2.174531922997104
confirm_K6_i001146,6,0.5,0.0443104907298504,0.0159643072173152,-9.757386574375168,1.5663761840485555,1.5489960660433026,1.6237899927191202,1.6169254985768653
confirm_K6_i000105,6,0.5,0.0504986312122066,0.0598344894481324,-81.04311681993663,1.6413314853984404,1.7206423084846838,1.6694366821589015,1.7247225463663252
confirm_K6_i000596,6,0.5,0.1484127420950245,0.1649497695064905,-50.32789938442448,2.005888319619652,2.0080853697234056,2.0435190172402486,2.1878083554634618
confirm_K6_i000453,6,0.5,0.0378222155615215,0.0447865862362661,-21.95819368502701,1.579941902649495,1.5095425444676729,1.5884376259331758,1.5849208243329054
confirm_K6_i000708,6,0.5,0.0215949663511637,-0.0097733138148371,1.020910963966821,0.92189335600473,0.8926337467309411,0.8532415706903317,0.8345150988987559
confirm_K6_i000150,6,0.5,0.0587493284296368,0.0469780721962769,-2.581431518257015,1.1245136120689987,1.1838575188667295,1.1993237750403434,1.2063514858083535
confirm_K6_i000997,6,0.5,0.092279711962907,0.0987590575622414,-122.93771880389612,1.9056367588551355,1.8952831869126745,1.9436889955008727,2.0189953927149324
confirm_K6_i000109,6,0.5,0.1747504377831972,0.1801049628000983,-25.66321506496791,1.917276199379704,1.9156296163288404,1.9475890527617563,2.1248215657324985
confirm_K6_i000737,6,0.5,0.0620461002807868,0.0774889382217896,-0.7930776622258707,1.9512111955783809,1.914310932795442,1.923594577118085,1.9798879649204804
confirm_K6_i000482,6,0.5,0.1009697932719217,0.1282730622696957,-1348.9132757074872,2.055490475539997,2.038491612188489,2.055184187226492,2.1660134252487744
confirm_K6_i000420,6,0.5,0.0997213329041904,0.1043438972067545,-6.59423175876983,1.5408415364322288,1.5808223524239842,1.590853605976178,1.674104918215802
confirm_K6_i000814,6,0.5,0.0298080198347939,0.0490606074116275,0.795773962325904,1.713158941103857,1.6507280722994366,1.699576342138459,1.639029969962208
confirm_K6_i000446,6,0.5,0.1321419139264281,0.1471070161876393,-48.07962288494094,2.003707067009181,1.998958517790916,2.0020420715443654,2.15264536019774
confirm_K6_i000225,6,0.5,0.0436505047127216,0.0620436984264944,-23.61541188526971,1.668724475250256,1.7020253903041749,1.7443450092047912,1.7426733285693456
