n_train,method,alpha,beta,outcome,diagnostic,spearman_rho,n_hmms
256,additive,0.1,,excess_ce_H,unseen_test_context_rate,-0.3051068588465761,48
256,additive,0.1,,excess_ce_H,mean_train_count_for_test_context,-0.7940729483282675,48
256,additive,0.1,,excess_ce_H,empirical_effective_context_count,0.9434433347807208,48
256,additive,0.1,,excess_ce_H,mean_backoff_weight,,48
256,additive,0.5,,shape_rmse,unseen_test_context_rate,-0.3256319331736815,48
256,additive,0.5,,shape_rmse,mean_train_count_for_test_context,-0.8369518019973947,48
256,additive,0.5,,shape_rmse,empirical_effective_context_count,0.9683022145028224,48
256,additive,0.5,,shape_rmse,mean_backoff_weight,,48
256,additive,0.5,,excess_ce_H,unseen_test_context_rate,-0.3120571485658076,48
256,additive,0.5,,excess_ce_H,mean_train_count_for_test_context,-0.8333695180199739,48
256,additive,0.5,,excess_ce_H,empirical_effective_context_count,0.9545158488927488,48
256,additive,0.5,,excess_ce_H,mean_backoff_weight,,48
256,additive,1.0,,shape_rmse,unseen_test_context_rate,-0.3633155352451399,48
256,additive,1.0,,shape_rmse,mean_train_count_for_test_context,-0.8583369518019973,48
256,additive,1.0,,shape_rmse,empirical_effective_context_count,0.9669995657837605,48
256,additive,1.0,,shape_rmse,mean_backoff_weight,,48
256,additive,1.0,,excess_ce_H,unseen_test_context_rate,-0.3144463106567934,48
256,additive,1.0,,excess_ce_H,mean_train_count_for_test_context,-0.8353234910985671,48
256,additive,1.0,,excess_ce_H,empirical_effective_context_count,0.9294398610508032,48
256,additive,1.0,,excess_ce_H,mean_backoff_weight,,48
256,interpolated_backoff,0.1,1.0,shape_rmse,unseen_test_context_rate,-0.3150979003179713,48
256,interpolated_backoff,0.1,1.0,shape_rmse,mean_train_count_for_test_context,-0.8105731654363872,48
256,interpolated_backoff,0.1,1.0,shape_rmse,empirical_effective_context_count,0.9573382544507164,48
256,interpolated_backoff,0.1,1.0,shape_rmse,mean_backoff_weight,0.9775293095961788,48
256,interpolated_backoff,0.1,1.0,excess_ce_H,unseen_test_context_rate,-0.3096136873363903,48
256,interpolated_backoff,0.1,1.0,excess_ce_H,mean_train_count_for_test_context,-0.8000434216239686,48
256,interpolated_backoff,0.1,1.0,excess_ce_H,empirical_effective_context_count,0.946808510638298,48
256,interpolated_backoff,0.1,1.0,excess_ce_H,mean_backoff_weight,0.9841511072514112,48
256,interpolated_backoff,0.1,5.0,shape_rmse,unseen_test_context_rate,-0.3147178063489508,48
256,interpolated_backoff,0.1,5.0,shape_rmse,mean_train_count_for_test_context,-0.8308727746417716,48
256,interpolated_backoff,0.1,5.0,shape_rmse,empirical_effective_context_count,0.9648284845853234,48
256,interpolated_backoff,0.1,5.0,shape_rmse,mean_backoff_weight,0.9895788102475032,48
